accuracy_snapshot,chapter,chapter_id,correct_count,device_type,duration_seconds,end_time,form,highest_streak,incorrect_count,paper_type,persona,practice_id,session_language,start_time,synthetic_student_index,total_questions_answered,user_id
75.0,Chapter 2: Matrices,12,3,Laptop,374,2026-03-25 16:16:14,Form 5,2,1,kertas1,Flexible Learner,589683,english,2026-03-25 16:10:00,1,4,14763
33.33,Chapter 3: Consumer Mathematics: Insurance,13,1,Tablet,509,2026-03-26 16:23:29,Form 5,1,2,kertas2,Flexible Learner,589684,english,2026-03-26 16:15:00,1,3,14763
50.0,Chapter 7: Graphs of Motion,7,2,Desktop,470,2026-04-03 20:12:50,Form 4,1,2,kertas1,Flexible Learner,589685,english,2026-04-03 20:05:00,1,4,14763
16.67,Chapter 8: Measures of Dispersion for Ungrouped Data,8,1,Laptop,586,2026-04-08 21:59:46,Form 4,1,5,kertas1,Flexible Learner,589686,english,2026-04-08 21:50:00,1,6,14763
50.0,Chapter 2: Matrices,12,2,Mobile,389,2026-04-09 21:11:29,Form 5,1,2,kertas1,Flexible Learner,589687,english,2026-04-09 21:05:00,1,4,14763
0.0,Chapter 1: Variation,11,0,Laptop,318,2026-04-09 22:20:18,Form 5,0,2,kertas2,Flexible Learner,589688,english,2026-04-09 22:15:00,1,2,14763
0.0,Chapter 2: Matrices,12,0,Desktop,397,2026-04-10 22:36:37,Form 5,0,4,kertas1,Flexible Learner,589689,english,2026-04-10 22:30:00,1,4,14763
100.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,4,Mobile,327,2026-04-14 20:15:27,Form 4,4,0,kertas1,Flexible Learner,589690,english,2026-04-14 20:10:00,1,4,14763
83.33,Chapter 1: Quadratic Functions and Equations in One Variable,1,5,Laptop,511,2026-04-14 22:28:31,Form 4,4,1,kertas1,Flexible Learner,589691,english,2026-04-14 22:20:00,1,6,14763
33.33,Chapter 7: Graphs of Motion,7,2,Laptop,552,2026-04-14 22:49:12,Form 4,1,4,kertas1,Flexible Learner,589692,bm,2026-04-14 22:40:00,1,6,14763
75.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,3,Desktop,397,2026-04-16 20:26:37,Form 5,2,1,kertas2,Flexible Learner,589693,english,2026-04-16 20:20:00,1,4,14763
50.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,3,Desktop,409,2026-04-16 21:46:49,Form 4,2,3,kertas1,Flexible Learner,589694,english,2026-04-16 21:40:00,1,6,14763
0.0,Chapter 2: Matrices,12,0,Mobile,227,2026-04-22 22:43:47,Form 5,0,1,kertas2,Flexible Learner,589695,english,2026-04-22 22:40:00,1,1,14763
33.33,Chapter 5: Network in Graph Theory,5,2,Mobile,555,2026-04-23 21:09:15,Form 4,1,4,kertas1,Flexible Learner,589696,english,2026-04-23 21:00:00,1,6,14763
50.0,Chapter 5: Network in Graph Theory,5,3,Desktop,490,2026-04-24 16:48:10,Form 4,2,3,kertas1,Flexible Learner,589697,english,2026-04-24 16:40:00,1,6,14763
37.5,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,3,Mobile,854,2026-04-25 21:14:14,Form 5,1,5,kertas1,Flexible Learner,589698,english,2026-04-25 21:00:00,1,8,14763
80.0,Chapter 9: Probability of Combined Events,9,4,Laptop,471,2026-04-30 16:17:51,Form 4,4,1,kertas1,Flexible Learner,589699,english,2026-04-30 16:10:00,1,5,14763
60.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,3,Desktop,479,2026-05-08 20:07:59,Form 4,2,2,kertas1,Flexible Learner,589700,english,2026-05-08 20:00:00,1,5,14763
20.0,Chapter 4: Consumer Mathematics: Taxation,14,2,Laptop,3250,2026-05-08 20:59:10,Form 5,1,8,kertas2,Flexible Learner,589701,english,2026-05-08 20:05:00,1,10,14763
20.0,Chapter 1: Variation,11,1,Tablet,499,2026-05-11 21:23:19,Form 5,1,4,kertas1,Flexible Learner,589702,english,2026-05-11 21:15:00,1,5,14763
50.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,3,Mobile,625,2026-02-07 10:25:25,Form 4,2,3,kertas1,Weekend Learner,589703,english,2026-02-07 10:15:00,2,6,14764
60.0,Chapter 1: Variation,11,3,Laptop,450,2026-02-07 11:47:30,Form 5,2,2,kertas1,Weekend Learner,589704,english,2026-02-07 11:40:00,2,5,14764
60.0,Chapter 6: Linear Inequalities in Two Variables,6,3,Desktop,530,2026-02-07 16:53:50,Form 4,2,2,kertas1,Weekend Learner,589705,english,2026-02-07 16:45:00,2,5,14764
88.89,Chapter 1: Variation,11,8,Tablet,700,2026-02-08 11:11:40,Form 5,4,1,kertas1,Weekend Learner,589706,english,2026-02-08 11:00:00,2,9,14764
85.71,Chapter 3: Consumer Mathematics: Insurance,13,6,Desktop,574,2026-02-15 11:09:34,Form 5,4,1,kertas1,Weekend Learner,589707,english,2026-02-15 11:00:00,2,7,14764
71.43,Chapter 3: Logical Reasoning,3,5,Laptop,543,2026-02-15 11:49:03,Form 4,4,2,kertas1,Weekend Learner,589708,english,2026-02-15 11:40:00,2,7,14764
66.67,Chapter 1: Variation,11,4,Mobile,464,2026-02-15 15:22:44,Form 5,2,2,kertas1,Weekend Learner,589709,english,2026-02-15 15:15:00,2,6,14764
57.14,Chapter 4: Consumer Mathematics: Taxation,14,4,Tablet,546,2026-02-15 16:14:06,Form 5,3,3,kertas1,Weekend Learner,589710,english,2026-02-15 16:05:00,2,7,14764
71.43,Chapter 5: Network in Graph Theory,5,5,Tablet,551,2026-02-22 10:24:11,Form 4,3,2,kertas1,Weekend Learner,589711,english,2026-02-22 10:15:00,2,7,14764
66.67,Chapter 7: Measures of Dispersion for Grouped Data,17,4,Laptop,588,2026-02-22 10:59:48,Form 5,2,2,kertas1,Weekend Learner,589712,english,2026-02-22 10:50:00,2,6,14764
66.67,Chapter 5: Network in Graph Theory,5,4,Laptop,470,2026-02-28 11:17:50,Form 4,2,2,kertas1,Weekend Learner,589713,english,2026-02-28 11:10:00,2,6,14764
30.0,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,3,Laptop,3062,2026-03-01 12:41:02,Form 5,1,7,kertas2,Weekend Learner,589714,english,2026-03-01 11:50:00,2,10,14764
33.33,Chapter 7: Measures of Dispersion for Grouped Data,17,2,Mobile,605,2026-03-07 11:10:05,Form 5,1,4,kertas1,Weekend Learner,589715,english,2026-03-07 11:00:00,2,6,14764
100.0,Chapter 9: Probability of Combined Events,9,5,Mobile,398,2026-03-08 10:21:38,Form 4,5,0,kertas1,Weekend Learner,589716,english,2026-03-08 10:15:00,2,5,14764
50.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,1,Laptop,338,2026-03-08 11:15:38,Form 4,1,1,kertas2,Weekend Learner,589717,english,2026-03-08 11:10:00,2,2,14764
16.67,Chapter 7: Graphs of Motion,7,1,Laptop,555,2026-03-08 20:14:15,Form 4,1,5,kertas1,Weekend Learner,589718,english,2026-03-08 20:05:00,2,6,14764
80.0,Chapter 4: Consumer Mathematics: Taxation,14,4,Laptop,436,2026-03-09 15:37:16,Form 5,3,1,kertas1,Weekend Learner,589719,english,2026-03-09 15:30:00,2,5,14764
40.0,Chapter 7: Measures of Dispersion for Grouped Data,17,2,Desktop,391,2026-03-15 16:46:31,Form 5,2,3,kertas1,Weekend Learner,589720,english,2026-03-15 16:40:00,2,5,14764
66.67,Chapter 2: Number Bases,2,2,Mobile,286,2026-03-21 10:14:46,Form 4,2,1,kertas1,Weekend Learner,589721,english,2026-03-21 10:10:00,2,3,14764
75.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,6,Mobile,687,2026-03-22 15:41:27,Form 5,4,2,kertas1,Weekend Learner,589722,english,2026-03-22 15:30:00,2,8,14764
50.0,Chapter 1: Variation,11,3,Laptop,512,2026-03-22 16:13:32,Form 5,3,3,kertas1,Weekend Learner,589723,bm,2026-03-22 16:05:00,2,6,14764
75.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,3,Laptop,414,2026-03-28 10:56:54,Form 5,2,1,kertas1,Weekend Learner,589724,english,2026-03-28 10:50:00,2,4,14764
42.86,Chapter 7: Graphs of Motion,7,3,Mobile,594,2026-04-08 20:29:54,Form 4,3,4,kertas1,Weekend Learner,589725,english,2026-04-08 20:20:00,2,7,14764
25.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,1,Laptop,430,2026-04-18 10:17:10,Form 5,1,3,kertas2,Weekend Learner,589726,english,2026-04-18 10:10:00,2,4,14764
60.0,Chapter 2: Matrices,12,3,Desktop,373,2026-04-20 15:36:13,Form 5,2,2,kertas1,Weekend Learner,589727,english,2026-04-20 15:30:00,2,5,14764
42.86,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,3,Laptop,668,2026-04-25 10:21:08,Form 5,1,4,kertas1,Weekend Learner,589728,english,2026-04-25 10:10:00,2,7,14764
70.0,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,7,Laptop,3377,2026-04-25 16:06:17,Form 5,3,3,kertas2,Weekend Learner,589729,english,2026-04-25 15:10:00,2,10,14764
100.0,Chapter 2: Number Bases,2,1,Desktop,256,2026-05-10 20:09:16,Form 4,1,0,kertas2,Weekend Learner,589730,bm,2026-05-10 20:05:00,2,1,14764
87.5,Chapter 10: Consumer Mathematics: Financial Management,10,7,Desktop,746,2026-02-03 18:42:26,Form 4,5,1,kertas1,High Achiever,589731,bm,2026-02-03 18:30:00,3,8,14765
33.33,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,2,Laptop,1859,2026-02-04 20:20:59,Form 5,1,4,kertas2,High Achiever,589732,bm,2026-02-04 19:50:00,3,6,14765
66.67,Chapter 8: Measures of Dispersion for Ungrouped Data,8,4,Laptop,553,2026-02-05 19:49:13,Form 4,4,2,kertas1,High Achiever,589733,bm,2026-02-05 19:40:00,3,6,14765
71.43,Chapter 3: Consumer Mathematics: Insurance,13,5,Desktop,1716,2026-02-06 18:43:36,Form 5,2,2,kertas2,High Achiever,589734,bm,2026-02-06 18:15:00,3,7,14765
37.5,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,3,Mobile,751,2026-02-07 19:32:31,Form 5,1,5,kertas1,High Achiever,589735,bm,2026-02-07 19:20:00,3,8,14765
100.0,Chapter 2: Number Bases,2,1,Laptop,275,2026-02-11 18:49:35,Form 4,1,0,kertas2,High Achiever,589736,bm,2026-02-11 18:45:00,3,1,14765
100.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,2,Laptop,199,2026-02-11 20:08:19,Form 5,2,0,kertas2,High Achiever,589737,bm,2026-02-11 20:05:00,3,2,14765
75.0,Chapter 1: Variation,11,6,Desktop,680,2026-02-12 18:41:20,Form 5,3,2,kertas1,High Achiever,589738,bm,2026-02-12 18:30:00,3,8,14765
71.43,Chapter 9: Probability of Combined Events,9,5,Tablet,946,2026-02-12 21:00:46,Form 4,2,2,kertas2,High Achiever,589739,bm,2026-02-12 20:45:00,3,7,14765
60.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,3,Desktop,517,2026-02-13 19:53:37,Form 4,3,2,kertas1,High Achiever,589740,bm,2026-02-13 19:45:00,3,5,14765
75.0,Chapter 3: Logical Reasoning,3,3,Laptop,432,2026-02-17 19:37:12,Form 4,2,1,kertas1,High Achiever,589741,bm,2026-02-17 19:30:00,3,4,14765
54.55,Chapter 7: Measures of Dispersion for Grouped Data,17,6,Tablet,3516,2026-02-21 20:18:36,Form 5,3,5,kertas2,High Achiever,589742,english,2026-02-21 19:20:00,3,11,14765
33.33,Chapter 9: Probability of Combined Events,9,1,Laptop,316,2026-02-23 19:35:16,Form 4,1,2,kertas2,High Achiever,589743,bm,2026-02-23 19:30:00,3,3,14765
100.0,Chapter 7: Graphs of Motion,7,6,Desktop,501,2026-02-27 18:53:21,Form 4,6,0,kertas1,High Achiever,589744,bm,2026-02-27 18:45:00,3,6,14765
40.0,Chapter 3: Consumer Mathematics: Insurance,13,2,Mobile,1579,2026-02-27 21:06:19,Form 5,2,3,kertas2,High Achiever,589745,bm,2026-02-27 20:40:00,3,5,14765
100.0,Chapter 7: Graphs of Motion,7,1,Desktop,290,2026-02-28 18:24:50,Form 4,1,0,kertas2,High Achiever,589746,bm,2026-02-28 18:20:00,3,1,14765
50.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,3,Tablet,562,2026-02-28 20:49:22,Form 4,2,3,kertas1,High Achiever,589747,english,2026-02-28 20:40:00,3,6,14765
80.0,Chapter 1: Variation,11,4,Mobile,568,2026-03-02 18:24:28,Form 5,2,1,kertas2,High Achiever,589748,bm,2026-03-02 18:15:00,3,5,14765
100.0,Chapter 7: Graphs of Motion,7,5,Laptop,380,2026-03-02 18:56:20,Form 4,5,0,kertas1,High Achiever,589749,bm,2026-03-02 18:50:00,3,5,14765
85.71,Chapter 4: Consumer Mathematics: Taxation,14,6,Tablet,626,2026-03-02 19:20:26,Form 5,4,1,kertas1,High Achiever,589750,bm,2026-03-02 19:10:00,3,7,14765
40.0,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,2,Desktop,609,2026-03-03 18:50:09,Form 5,1,3,kertas1,High Achiever,589751,bm,2026-03-03 18:40:00,3,5,14765
100.0,Chapter 2: Number Bases,2,1,Laptop,290,2026-03-03 19:49:50,Form 4,1,0,kertas2,High Achiever,589752,bm,2026-03-03 19:45:00,3,1,14765
42.86,Chapter 7: Graphs of Motion,7,3,Mobile,695,2026-03-06 20:26:35,Form 4,3,4,kertas1,High Achiever,589753,bm,2026-03-06 20:15:00,3,7,14765
40.0,Chapter 6: Linear Inequalities in Two Variables,6,2,Desktop,1479,2026-03-07 20:39:39,Form 4,1,3,kertas2,High Achiever,589754,bm,2026-03-07 20:15:00,3,5,14765
75.0,Chapter 5: Network in Graph Theory,5,3,Mobile,708,2026-03-09 20:21:48,Form 4,2,1,kertas2,High Achiever,589755,bm,2026-03-09 20:10:00,3,4,14765
25.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,1,Mobile,731,2026-03-09 20:42:11,Form 4,1,3,kertas2,High Achiever,589756,bm,2026-03-09 20:30:00,3,4,14765
100.0,Chapter 8: Measures of Dispersion for Ungrouped Data,8,2,Tablet,411,2026-03-12 18:21:51,Form 4,2,0,kertas2,High Achiever,589757,bm,2026-03-12 18:15:00,3,2,14765
85.71,Chapter 4: Consumer Mathematics: Taxation,14,6,Mobile,523,2026-03-16 18:08:43,Form 5,6,1,kertas1,High Achiever,589758,bm,2026-03-16 18:00:00,3,7,14765
75.0,Chapter 1: Variation,11,3,Tablet,481,2026-03-17 19:28:01,Form 5,2,1,kertas2,High Achiever,589759,bm,2026-03-17 19:20:00,3,4,14765
100.0,Chapter 2: Number Bases,2,1,Laptop,271,2026-03-17 20:24:31,Form 4,1,0,kertas2,High Achiever,589760,bm,2026-03-17 20:20:00,3,1,14765
75.0,Chapter 4: Consumer Mathematics: Taxation,14,3,Mobile,388,2026-03-18 18:46:28,Form 5,3,1,kertas1,High Achiever,589761,bm,2026-03-18 18:40:00,3,4,14765
100.0,Chapter 2: Number Bases,2,2,Desktop,393,2026-03-18 20:51:33,Form 4,1,0,kertas2,High Achiever,589762,bm,2026-03-18 20:45:00,3,2,14765
60.0,Chapter 6: Linear Inequalities in Two Variables,6,3,Tablet,1808,2026-03-19 19:50:08,Form 4,2,2,kertas2,High Achiever,589763,bm,2026-03-19 19:20:00,3,5,14765
50.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,2,Mobile,400,2026-03-19 19:51:40,Form 4,2,2,kertas1,High Achiever,589764,bm,2026-03-19 19:45:00,3,4,14765
83.33,Chapter 8: Measures of Dispersion for Ungrouped Data,8,5,Desktop,971,2026-03-19 20:31:11,Form 4,2,1,kertas2,High Achiever,589765,bm,2026-03-19 20:15:00,3,6,14765
80.0,Chapter 5: Network in Graph Theory,5,4,Desktop,518,2026-03-21 20:28:38,Form 4,3,1,kertas1,High Achiever,589766,bm,2026-03-21 20:20:00,3,5,14765
40.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,2,Desktop,1025,2026-03-23 20:07:05,Form 4,1,3,kertas2,High Achiever,589767,bm,2026-03-23 19:50:00,3,5,14765
66.67,Chapter 4: Consumer Mathematics: Taxation,14,4,Tablet,2227,2026-03-24 19:37:07,Form 5,2,2,kertas2,High Achiever,589768,bm,2026-03-24 19:00:00,3,6,14765
60.0,Chapter 9: Probability of Combined Events,9,3,Laptop,574,2026-03-25 18:54:34,Form 4,2,2,kertas1,High Achiever,589769,bm,2026-03-25 18:45:00,3,5,14765
66.67,Chapter 7: Graphs of Motion,7,2,Mobile,632,2026-03-25 19:25:32,Form 4,1,1,kertas2,High Achiever,589770,bm,2026-03-25 19:15:00,3,3,14765
100.0,Chapter 2: Matrices,12,4,Desktop,373,2026-03-26 19:26:13,Form 5,4,0,kertas1,High Achiever,589771,bm,2026-03-26 19:20:00,3,4,14765
50.0,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,2,Laptop,447,2026-03-26 20:22:27,Form 5,1,2,kertas1,High Achiever,589772,bm,2026-03-26 20:15:00,3,4,14765
57.14,Chapter 9: Probability of Combined Events,9,4,Mobile,1281,2026-03-28 18:31:21,Form 4,2,3,kertas2,High Achiever,589773,bm,2026-03-28 18:10:00,3,7,14765
62.5,Chapter 7: Graphs of Motion,7,5,Tablet,2150,2026-03-28 18:50:50,Form 4,2,3,kertas2,High Achiever,589774,bm,2026-03-28 18:15:00,3,8,14765
80.0,Chapter 7: Graphs of Motion,7,4,Mobile,532,2026-03-30 20:13:52,Form 4,4,1,kertas1,High Achiever,589775,bm,2026-03-30 20:05:00,3,5,14765
40.0,Chapter 6: Linear Inequalities in Two Variables,6,2,Mobile,1725,2026-03-30 21:08:45,Form 4,1,3,kertas2,High Achiever,589776,bm,2026-03-30 20:40:00,3,5,14765
60.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,3,Mobile,507,2026-03-31 18:48:27,Form 4,2,2,kertas1,High Achiever,589777,bm,2026-03-31 18:40:00,3,5,14765
100.0,Chapter 1: Variation,11,6,Laptop,475,2026-03-31 20:22:55,Form 5,6,0,kertas1,High Achiever,589778,bm,2026-03-31 20:15:00,3,6,14765
80.0,Chapter 1: Variation,11,4,Mobile,375,2026-04-01 19:26:15,Form 5,4,1,kertas1,High Achiever,589779,bm,2026-04-01 19:20:00,3,5,14765
0.0,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,0,Laptop,1787,2026-04-02 18:39:47,Form 5,0,4,kertas2,High Achiever,589780,bm,2026-04-02 18:10:00,3,4,14765
100.0,Chapter 7: Measures of Dispersion for Grouped Data,17,6,Desktop,525,2026-04-02 18:28:45,Form 5,6,0,kertas1,High Achiever,589781,bm,2026-04-02 18:20:00,3,6,14765
25.0,Chapter 7: Measures of Dispersion for Grouped Data,17,2,Tablet,2996,2026-04-02 20:04:56,Form 5,1,6,kertas2,High Achiever,589782,bm,2026-04-02 19:15:00,3,8,14765
57.14,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,4,Desktop,731,2026-04-02 20:32:11,Form 5,3,3,kertas1,High Achiever,589783,bm,2026-04-02 20:20:00,3,7,14765
66.67,Chapter 1: Quadratic Functions and Equations in One Variable,1,4,Tablet,433,2026-04-03 19:12:13,Form 4,2,2,kertas1,High Achiever,589784,bm,2026-04-03 19:05:00,3,6,14765
60.0,Chapter 9: Probability of Combined Events,9,3,Tablet,553,2026-04-04 19:49:13,Form 4,2,2,kertas1,High Achiever,589785,bm,2026-04-04 19:40:00,3,5,14765
100.0,Chapter 2: Number Bases,2,1,Mobile,237,2026-04-06 20:33:57,Form 4,1,0,kertas2,High Achiever,589786,english,2026-04-06 20:30:00,3,1,14765
71.43,Chapter 4: Operations on Sets,4,5,Desktop,2818,2026-04-07 18:56:58,Form 4,2,2,kertas2,High Achiever,589787,bm,2026-04-07 18:10:00,3,7,14765
66.67,Chapter 7: Measures of Dispersion for Grouped Data,17,4,Mobile,508,2026-04-08 19:53:28,Form 5,4,2,kertas1,High Achiever,589788,bm,2026-04-08 19:45:00,3,6,14765
75.0,Chapter 5: Network in Graph Theory,5,3,Tablet,1623,2026-04-08 21:07:03,Form 4,2,1,kertas2,High Achiever,589789,bm,2026-04-08 20:40:00,3,4,14765
62.5,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,5,Tablet,719,2026-04-08 20:56:59,Form 5,3,3,kertas1,High Achiever,589790,english,2026-04-08 20:45:00,3,8,14765
60.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,3,Tablet,1319,2026-04-09 20:06:59,Form 4,2,2,kertas2,High Achiever,589791,bm,2026-04-09 19:45:00,3,5,14765
80.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,4,Mobile,1292,2026-04-10 18:41:32,Form 4,2,1,kertas2,High Achiever,589792,bm,2026-04-10 18:20:00,3,5,14765
57.14,Chapter 4: Consumer Mathematics: Taxation,14,4,Mobile,673,2026-04-10 20:26:13,Form 5,4,3,kertas1,High Achiever,589793,bm,2026-04-10 20:15:00,3,7,14765
57.14,Chapter 7: Graphs of Motion,7,4,Desktop,547,2026-04-11 18:39:07,Form 4,2,3,kertas1,High Achiever,589794,bm,2026-04-11 18:30:00,3,7,14765
33.33,Chapter 7: Graphs of Motion,7,1,Tablet,736,2026-04-14 18:32:16,Form 4,1,2,kertas2,High Achiever,589795,bm,2026-04-14 18:20:00,3,3,14765
9.09,"Chapter 5: Congruency, Enlargement and Combined Transformations",15,1,Laptop,4144,2026-04-14 21:09:04,Form 5,1,10,kertas2,High Achiever,589796,bm,2026-04-14 20:00:00,3,11,14765
100.0,Chapter 3: Logical Reasoning,3,7,Laptop,513,2026-04-17 18:08:33,Form 4,7,0,kertas1,High Achiever,589797,english,2026-04-17 18:00:00,3,7,14765
83.33,Chapter 3: Consumer Mathematics: Insurance,13,5,Tablet,1382,2026-04-18 19:23:02,Form 5,2,1,kertas2,High Achiever,589798,english,2026-04-18 19:00:00,3,6,14765
80.0,Chapter 9: Probability of Combined Events,9,4,Desktop,314,2026-04-18 19:20:14,Form 4,3,1,kertas1,High Achiever,589799,bm,2026-04-18 19:15:00,3,5,14765
87.5,Chapter 1: Variation,11,7,Desktop,773,2026-04-18 20:02:53,Form 5,4,1,kertas1,High Achiever,589800,bm,2026-04-18 19:50:00,3,8,14765
50.0,Chapter 7: Graphs of Motion,7,2,Laptop,330,2026-04-20 19:25:30,Form 4,2,2,kertas1,High Achiever,589801,english,2026-04-20 19:20:00,3,4,14765
66.67,Chapter 1: Variation,11,2,Laptop,336,2026-04-20 20:55:36,Form 5,1,1,kertas2,High Achiever,589802,bm,2026-04-20 20:50:00,3,3,14765
75.0,Chapter 6: Ratios and Graphs of Trigonometric Functions,16,3,Mobile,429,2026-04-21 18:57:09,Form 5,2,1,kertas2,High Achiever,589803,bm,2026-04-21 18:50:00,3,4,14765
50.0,Chapter 1: Quadratic Functions and Equations in One Variable,1,3,Desktop,1458,2026-04-23 18:34:18,Form 4,1,3,kertas2,High Achiever,589804,bm,2026-04-23 18:10:00,3,6,14765
66.67,Chapter 5: Network in Graph Theory,5,4,Mobile,502,2026-04-23 20:28:22,Form 4,3,2,kertas1,High Achiever,589805,bm,2026-04-23 20:20:00,3,6,14765
33.33,Chapter 6: Linear Inequalities in Two Variables,6,1,Laptop,900,2026-04-24 19:25:00,Form 4,1,2,kertas2,High Achiever,589806,bm,2026-04-24 19:10:00,3,3,14765
60.0,Chapter 2: Matrices,12,3,Laptop,378,2026-04-25 19:51:18,Form 5,2,2,kertas1,High Achiever,589807,bm,2026-04-25 19:45:00,3,5,14765
75.0,Chapter 10: Consumer Mathematics: Financial Management,10,3,Laptop,257,2026-04-25 19:54:17,Form 4,3,1,kertas1,High Achiever,589808,bm,2026-04-25 19:50:00,3,4,14765
42.86,Chapter 7: Graphs of Motion,7,3,Mobile,637,2026-04-29 18:10:37,Form 4,1,4,kertas1,High Achiever,589809,bm,2026-04-29 18:00:00,3,7,14765
