accuracy_percent,attempts,avg_score_ratio_percent,chapter_id,correct_attempts,is_hidden_strong_topic,is_hidden_weak_topic,persona,synthetic_student_index,user_id
80.85,47,85.71,11,38,0,0,High Achiever,3,14765
77.78,9,77.78,12,7,0,0,High Achiever,3,14765
66.67,18,87.88,13,12,0,0,High Achiever,3,14765
74.19,31,77.88,14,23,0,0,High Achiever,3,14765
33.33,57,52.74,15,19,0,1,High Achiever,3,14765
90.0,10,94.29,16,9,0,0,High Achiever,3,14765
58.06,31,78.0,17,18,0,1,High Achiever,3,14765
45.45,11,62.14,1,5,1,0,Consistent Climber,4,14766
100.0,2,100.0,2,2,1,0,Consistent Climber,4,14766
44.44,27,66.86,3,12,0,0,Consistent Climber,4,14766
26.67,30,38.43,4,8,0,1,Consistent Climber,4,14766
40.0,5,40.0,5,2,0,0,Consistent Climber,4,14766
34.62,26,36.18,7,9,0,1,Consistent Climber,4,14766
15.0,20,39.08,8,3,0,1,Consistent Climber,4,14766
63.64,22,72.65,9,14,0,0,Consistent Climber,4,14766
47.37,19,64.75,10,9,0,0,Consistent Climber,4,14766
38.24,34,42.07,11,13,0,1,Consistent Climber,4,14766
40.0,5,40.0,12,2,0,0,Consistent Climber,4,14766
42.86,14,67.62,13,6,0,0,Consistent Climber,4,14766
42.86,7,72.22,14,3,0,0,Consistent Climber,4,14766
40.0,15,56.52,15,6,0,0,Consistent Climber,4,14766
33.33,15,64.12,17,5,0,0,Consistent Climber,4,14766
66.67,6,66.67,1,4,0,0,Deep Focus Learner,5,14767
20.0,5,11.11,2,1,0,1,Deep Focus Learner,5,14767
56.25,16,78.54,3,9,0,0,Deep Focus Learner,5,14767
50.0,8,50.0,4,4,0,0,Deep Focus Learner,5,14767
50.0,4,86.0,5,2,0,0,Deep Focus Learner,5,14767
31.82,22,38.06,7,7,0,1,Deep Focus Learner,5,14767
54.17,24,85.68,10,13,1,0,Deep Focus Learner,5,14767
100.0,3,100.0,11,3,1,0,Deep Focus Learner,5,14767
21.74,23,37.46,13,5,0,1,Deep Focus Learner,5,14767
12.5,8,54.62,14,1,0,0,Deep Focus Learner,5,14767
30.0,10,52.27,15,3,0,0,Deep Focus Learner,5,14767
53.85,13,67.06,16,7,0,1,Deep Focus Learner,5,14767
28.57,14,65.86,17,4,0,0,Deep Focus Learner,5,14767
33.33,18,33.33,1,6,0,0,Flexible Learner,6,14768
36.36,11,36.36,3,4,0,0,Flexible Learner,6,14768
7.69,26,18.89,4,2,0,1,Flexible Learner,6,14768
35.29,17,35.29,5,6,0,0,Flexible Learner,6,14768
26.09,23,20.61,6,6,0,0,Flexible Learner,6,14768
50.0,4,40.62,7,2,0,0,Flexible Learner,6,14768
45.45,11,45.45,8,5,0,0,Flexible Learner,6,14768
35.71,14,35.71,9,5,0,0,Flexible Learner,6,14768
60.0,10,69.23,10,6,0,0,Flexible Learner,6,14768
36.36,11,36.36,11,4,0,0,Flexible Learner,6,14768
50.0,4,50.0,12,2,1,0,Flexible Learner,6,14768
18.18,11,18.18,13,2,0,1,Flexible Learner,6,14768
40.0,5,40.0,15,2,0,0,Flexible Learner,6,14768
44.44,9,56.82,16,4,1,0,Flexible Learner,6,14768
8.57,35,10.6,17,3,0,1,Flexible Learner,6,14768
61.11,18,67.86,1,11,0,0,Flexible Learner,7,14769
47.06,17,51.19,2,8,0,1,Flexible Learner,7,14769
83.33,12,83.33,3,10,0,0,Flexible Learner,7,14769
100.0,7,100.0,4,7,1,0,Flexible Learner,7,14769
35.85,53,35.16,5,19,0,1,Flexible Learner,7,14769
71.43,14,71.43,7,10,0,0,Flexible Learner,7,14769
66.67,6,66.67,8,4,0,0,Flexible Learner,7,14769
28.57,7,48.0,9,2,0,0,Flexible Learner,7,14769
37.14,35,37.14,10,13,0,1,Flexible Learner,7,14769
53.33,15,60.29,11,8,0,0,Flexible Learner,7,14769
73.33,15,82.86,13,11,0,0,Flexible Learner,7,14769
60.0,15,67.25,14,9,0,0,Flexible Learner,7,14769
45.0,20,73.25,15,9,1,0,Flexible Learner,7,14769
72.73,11,76.92,16,8,0,0,Flexible Learner,7,14769
25.64,39,33.86,17,10,0,1,Flexible Learner,7,14769
100.0,12,100.0,1,12,0,0,Deep Focus Learner,8,14770
50.0,12,50.0,2,6,0,0,Deep Focus Learner,8,14770
61.54,13,61.54,3,8,0,0,Deep Focus Learner,8,14770
36.0,25,36.0,4,9,0,1,Deep Focus Learner,8,14770
75.0,8,75.0,5,6,0,0,Deep Focus Learner,8,14770
33.33,3,66.25,6,1,0,0,Deep Focus Learner,8,14770
80.0,5,80.0,8,4,0,0,Deep Focus Learner,8,14770
46.15,13,50.0,11,6,0,1,Deep Focus Learner,8,14770
50.0,12,50.0,13,6,0,0,Deep Focus Learner,8,14770
55.0,20,55.0,15,11,0,0,Deep Focus Learner,8,14770
100.0,4,100.0,16,4,0,0,Deep Focus Learner,8,14770
55.56,9,67.33,17,5,0,0,Deep Focus Learner,8,14770
50.0,4,58.33,2,2,0,0,Consistent Climber,9,14771
56.0,50,63.83,3,28,0,1,Consistent Climber,9,14771
66.67,12,78.82,4,8,0,0,Consistent Climber,9,14771
69.23,13,82.73,5,9,0,0,Consistent Climber,9,14771
40.0,5,40.0,6,2,0,0,Consistent Climber,9,14771
60.71,28,71.71,7,17,0,0,Consistent Climber,9,14771
80.0,10,88.24,8,8,0,0,Consistent Climber,9,14771
35.71,14,48.95,9,5,0,0,Consistent Climber,9,14771
56.0,25,72.71,10,14,0,0,Consistent Climber,9,14771
100.0,5,100.0,11,5,0,0,Consistent Climber,9,14771
57.14,7,81.88,12,4,1,0,Consistent Climber,9,14771
39.53,43,55.31,13,17,0,1,Consistent Climber,9,14771
57.14,7,57.14,14,4,0,0,Consistent Climber,9,14771
16.67,6,16.67,15,1,0,0,Consistent Climber,9,14771
84.62,13,86.67,16,11,0,0,Consistent Climber,9,14771
83.33,6,83.33,17,5,1,0,Consistent Climber,9,14771
66.67,9,66.67,1,6,1,0,Deep Focus Learner,10,14772
33.33,3,33.33,2,1,0,0,Deep Focus Learner,10,14772
26.92,26,26.92,4,7,0,1,Deep Focus Learner,10,14772
100.0,4,100.0,6,4,0,0,Deep Focus Learner,10,14772
20.0,10,20.0,7,2,1,0,Deep Focus Learner,10,14772
60.0,5,60.0,9,3,0,0,Deep Focus Learner,10,14772
22.22,9,22.22,10,2,0,0,Deep Focus Learner,10,14772
60.0,5,60.0,11,3,0,0,Deep Focus Learner,10,14772
40.0,5,40.0,12,2,0,1,Deep Focus Learner,10,14772
60.0,5,60.0,13,3,0,0,Deep Focus Learner,10,14772
33.33,6,33.33,14,2,0,1,Deep Focus Learner,10,14772
25.0,20,25.0,15,5,0,1,Deep Focus Learner,10,14772
50.0,8,50.0,16,4,0,0,Deep Focus Learner,10,14772
25.0,4,25.0,17,1,0,0,Deep Focus Learner,10,14772
7.41,27,7.41,1,2,0,1,Flexible Learner,11,14773
0.0,6,0.0,2,0,1,0,Flexible Learner,11,14773
31.25,16,31.25,3,5,0,0,Flexible Learner,11,14773
35.29,17,35.87,4,6,0,0,Flexible Learner,11,14773
15.38,13,18.75,5,2,0,0,Flexible Learner,11,14773
20.0,5,20.0,6,1,0,0,Flexible Learner,11,14773
69.23,13,69.23,7,9,1,0,Flexible Learner,11,14773
38.89,18,37.5,8,7,0,0,Flexible Learner,11,14773
45.0,20,45.0,9,9,0,0,Flexible Learner,11,14773
38.46,13,38.46,10,5,0,0,Flexible Learner,11,14773
34.38,32,35.71,11,11,1,0,Flexible Learner,11,14773
40.0,5,40.0,12,2,0,0,Flexible Learner,11,14773
33.33,24,34.64,13,8,0,0,Flexible Learner,11,14773
20.0,10,20.0,14,2,0,1,Flexible Learner,11,14773
30.77,39,30.52,15,12,0,0,Flexible Learner,11,14773
38.46,13,41.67,16,5,0,0,Flexible Learner,11,14773
28.57,28,23.28,17,8,0,0,Flexible Learner,11,14773
66.67,18,66.67,1,12,0,0,Weekend Learner,12,14774
57.14,7,57.14,3,4,0,0,Weekend Learner,12,14774
22.73,22,27.83,4,5,0,1,Weekend Learner,12,14774
50.0,10,50.0,5,5,0,0,Weekend Learner,12,14774
28.57,7,28.57,7,2,0,0,Weekend Learner,12,14774
25.0,4,64.44,8,1,1,0,Weekend Learner,12,14774
50.0,8,50.0,10,4,1,0,Weekend Learner,12,14774
75.0,8,75.0,11,6,0,0,Weekend Learner,12,14774
40.0,5,40.0,12,2,0,0,Weekend Learner,12,14774
23.53,17,20.31,13,4,0,1,Weekend Learner,12,14774
20.0,5,20.0,14,1,0,1,Weekend Learner,12,14774
30.77,13,30.77,15,4,0,1,Weekend Learner,12,14774
25.0,4,25.0,16,1,0,0,Weekend Learner,12,14774
33.33,6,33.33,17,2,0,0,Weekend Learner,12,14774
54.55,11,66.67,2,6,0,1,Flexible Learner,13,14775
37.93,29,37.93,3,11,0,1,Flexible Learner,13,14775
87.5,8,87.5,4,7,0,0,Flexible Learner,13,14775
55.0,20,59.09,5,11,0,0,Flexible Learner,13,14775
77.78,9,77.78,6,7,1,0,Flexible Learner,13,14775
61.9,21,61.9,7,13,0,0,Flexible Learner,13,14775
30.0,30,37.62,8,9,0,1,Flexible Learner,13,14775
62.5,16,76.33,9,10,0,0,Flexible Learner,13,14775
44.44,9,44.44,10,4,0,0,Flexible Learner,13,14775
63.16,19,68.18,11,12,0,0,Flexible Learner,13,14775
66.67,6,80.0,12,4,1,0,Flexible Learner,13,14775
33.33,21,47.5,13,7,0,0,Flexible Learner,13,14775
41.46,41,40.47,14,17,0,1,Flexible Learner,13,14775
100.0,3,100.0,15,3,0,0,Flexible Learner,13,14775
37.5,8,37.5,16,3,0,0,Flexible Learner,13,14775
36.67,30,44.65,17,11,0,1,Flexible Learner,13,14775
73.08,26,81.94,1,19,0,0,Consistent Climber,14,14776
66.67,12,66.67,2,8,0,0,Consistent Climber,14,14776
60.0,25,60.0,3,15,0,0,Consistent Climber,14,14776
38.89,54,50.56,4,21,0,1,Consistent Climber,14,14776
78.57,14,89.0,5,11,1,0,Consistent Climber,14,14776
42.11,19,82.7,6,8,0,0,Consistent Climber,14,14776
86.67,15,87.5,7,13,0,0,Consistent Climber,14,14776
58.62,29,68.06,8,17,0,0,Consistent Climber,14,14776
80.0,30,88.0,10,24,0,0,Consistent Climber,14,14776
91.3,23,92.86,11,21,1,0,Consistent Climber,14,14776
77.78,9,90.45,12,7,1,0,Consistent Climber,14,14776
52.17,46,63.62,13,24,0,1,Consistent Climber,14,14776
56.25,16,82.92,14,9,0,0,Consistent Climber,14,14776
50.0,30,51.61,15,15,0,0,Consistent Climber,14,14776
66.67,15,66.67,16,10,0,0,Consistent Climber,14,14776
66.67,9,78.67,17,6,0,0,Consistent Climber,14,14776
60.0,10,82.31,1,6,0,0,Consistent Climber,15,14777
77.78,9,86.67,2,7,0,0,Consistent Climber,15,14777
36.0,25,44.0,3,9,0,1,Consistent Climber,15,14777
61.9,21,72.42,4,13,0,0,Consistent Climber,15,14777
66.67,12,80.56,5,8,0,0,Consistent Climber,15,14777
33.33,18,75.48,6,6,1,0,Consistent Climber,15,14777
42.86,14,71.36,7,6,0,0,Consistent Climber,15,14777
100.0,6,100.0,8,6,0,0,Consistent Climber,15,14777
70.0,10,82.35,9,7,0,0,Consistent Climber,15,14777
52.94,17,73.29,10,9,0,1,Consistent Climber,15,14777
79.17,24,86.67,11,19,0,0,Consistent Climber,15,14777
50.0,2,82.22,12,1,0,0,Consistent Climber,15,14777
44.44,18,45.0,13,8,0,1,Consistent Climber,15,14777
31.03,87,46.27,14,27,0,1,Consistent Climber,15,14777
46.67,30,75.61,15,14,1,0,Consistent Climber,15,14777
56.0,25,66.45,16,14,0,0,Consistent Climber,15,14777
45.45,11,62.5,17,5,0,0,Consistent Climber,15,14777
23.81,21,23.81,1,5,0,1,Weekend Learner,16,14778
50.0,6,50.0,2,3,0,0,Weekend Learner,16,14778
53.85,13,53.85,3,7,0,0,Weekend Learner,16,14778
0.0,16,0.0,4,0,0,1,Weekend Learner,16,14778
37.5,8,48.0,5,3,0,0,Weekend Learner,16,14778
50.0,10,50.0,6,5,1,0,Weekend Learner,16,14778
0.0,5,0.0,7,0,0,0,Weekend Learner,16,14778
44.44,9,68.18,10,4,0,0,Weekend Learner,16,14778
37.5,8,37.5,11,3,0,0,Weekend Learner,16,14778
60.0,5,60.0,12,3,1,0,Weekend Learner,16,14778
30.43,46,30.43,14,14,0,1,Weekend Learner,16,14778
44.44,9,44.44,16,4,0,0,Weekend Learner,16,14778
6.67,15,6.67,17,1,0,1,Weekend Learner,16,14778
71.43,14,76.79,1,10,0,0,Weekend Learner,17,14779
50.0,2,80.0,2,1,0,0,Weekend Learner,17,14779
83.33,12,83.33,3,10,0,0,Weekend Learner,17,14779
41.67,12,77.39,4,5,0,0,Weekend Learner,17,14779
70.0,20,78.4,5,14,1,0,Weekend Learner,17,14779
33.33,12,61.56,6,4,0,0,Weekend Learner,17,14779
57.14,7,57.14,7,4,0,0,Weekend Learner,17,14779
50.0,4,73.33,8,2,0,0,Weekend Learner,17,14779
75.0,4,75.0,9,3,0,0,Weekend Learner,17,14779
71.43,7,72.5,11,5,0,0,Weekend Learner,17,14779
100.0,3,100.0,12,3,0,0,Weekend Learner,17,14779
40.0,5,77.86,13,2,1,0,Weekend Learner,17,14779
100.0,6,100.0,14,6,0,0,Weekend Learner,17,14779
11.11,9,16.92,15,1,0,1,Weekend Learner,17,14779
29.41,17,57.3,17,5,0,0,Weekend Learner,17,14779
23.08,13,34.69,1,3,0,1,Weekend Learner,18,14780
100.0,9,100.0,2,9,0,0,Weekend Learner,18,14780
66.67,6,66.67,3,4,0,0,Weekend Learner,18,14780
37.5,8,65.0,4,3,0,0,Weekend Learner,18,14780
48.48,33,49.41,5,16,0,1,Weekend Learner,18,14780
20.0,10,20.0,6,2,0,1,Weekend Learner,18,14780
66.67,3,95.0,7,2,1,0,Weekend Learner,18,14780
75.0,4,75.0,8,3,0,0,Weekend Learner,18,14780
17.65,34,22.26,9,6,0,1,Weekend Learner,18,14780
71.43,14,78.82,10,10,1,0,Weekend Learner,18,14780
55.56,9,55.56,11,5,0,0,Weekend Learner,18,14780
40.0,5,40.0,12,2,0,0,Weekend Learner,18,14780
40.0,10,40.0,13,4,0,1,Weekend Learner,18,14780
75.0,4,93.33,15,3,1,0,Weekend Learner,18,14780
50.0,4,50.0,16,2,0,0,Weekend Learner,18,14780
52.63,19,70.27,17,10,0,0,Weekend Learner,18,14780
50.0,4,80.0,1,2,0,0,Weekend Learner,19,14781
41.67,12,60.67,3,5,0,0,Weekend Learner,19,14781
50.0,4,50.0,4,2,0,1,Weekend Learner,19,14781
54.55,22,59.62,5,12,0,0,Weekend Learner,19,14781
20.0,5,20.0,6,1,0,0,Weekend Learner,19,14781
80.0,5,80.0,9,4,1,0,Weekend Learner,19,14781
31.82,22,41.52,10,7,0,1,Weekend Learner,19,14781
66.67,9,75.0,11,6,0,0,Weekend Learner,19,14781
41.18,17,58.75,13,7,0,1,Weekend Learner,19,14781
60.0,20,60.0,14,12,0,0,Weekend Learner,19,14781
28.57,7,28.57,15,2,0,1,Weekend Learner,19,14781
0.0,4,0.0,16,0,0,0,Weekend Learner,19,14781
33.33,6,33.33,17,2,0,0,Weekend Learner,19,14781
38.46,52,40.71,1,20,0,1,Consistent Climber,20,14782
66.67,3,66.67,2,2,0,0,Consistent Climber,20,14782
50.0,18,59.78,3,9,0,0,Consistent Climber,20,14782
41.67,12,41.67,4,5,0,0,Consistent Climber,20,14782
100.0,4,100.0,5,4,1,0,Consistent Climber,20,14782
52.94,17,63.04,6,9,0,0,Consistent Climber,20,14782
66.67,3,82.86,7,2,0,0,Consistent Climber,20,14782
41.67,12,41.67,8,5,0,0,Consistent Climber,20,14782
33.33,6,33.33,10,2,0,0,Consistent Climber,20,14782
46.67,15,58.42,11,7,0,0,Consistent Climber,20,14782
50.0,24,50.0,12,12,0,1,Consistent Climber,20,14782
48.15,27,60.83,13,13,0,0,Consistent Climber,20,14782
66.67,18,66.67,14,12,1,0,Consistent Climber,20,14782
56.0,25,56.0,15,14,0,0,Consistent Climber,20,14782
53.33,15,63.16,16,8,0,0,Consistent Climber,20,14782
48.15,27,57.58,17,13,0,0,Consistent Climber,20,14782
80.0,10,80.0,1,8,0,0,Consistent Climber,21,14783
66.67,3,66.67,2,2,1,0,Consistent Climber,21,14783
39.53,43,56.92,3,17,0,1,Consistent Climber,21,14783
50.0,46,74.24,4,23,0,0,Consistent Climber,21,14783
81.25,16,87.62,5,13,1,0,Consistent Climber,21,14783
80.0,5,80.0,6,4,0,0,Consistent Climber,21,14783
71.43,7,90.0,7,5,1,0,Consistent Climber,21,14783
90.91,11,96.25,8,10,1,0,Consistent Climber,21,14783
42.86,21,51.11,9,9,0,1,Consistent Climber,21,14783
61.9,21,76.13,10,13,0,0,Consistent Climber,21,14783
56.25,16,73.04,11,9,0,0,Consistent Climber,21,14783
58.33,12,63.16,12,7,0,0,Consistent Climber,21,14783
54.55,22,67.42,13,12,0,0,Consistent Climber,21,14783
40.0,5,69.23,14,2,0,0,Consistent Climber,21,14783
60.0,5,60.0,15,3,0,0,Consistent Climber,21,14783
65.71,35,69.23,16,23,0,0,Consistent Climber,21,14783
41.94,31,48.5,17,13,0,1,Consistent Climber,21,14783
54.55,22,54.55,1,12,0,0,Flexible Learner,22,14784
50.0,12,50.0,2,6,0,0,Flexible Learner,22,14784
100.0,4,100.0,4,4,0,0,Flexible Learner,22,14784
60.0,5,60.0,5,3,0,0,Flexible Learner,22,14784
38.46,13,48.06,6,5,0,0,Flexible Learner,22,14784
28.57,21,27.27,7,6,0,1,Flexible Learner,22,14784
33.33,12,33.33,8,4,0,0,Flexible Learner,22,14784
33.33,12,59.21,9,4,0,0,Flexible Learner,22,14784
40.0,5,66.11,11,2,0,0,Flexible Learner,22,14784
66.67,6,84.09,12,4,1,0,Flexible Learner,22,14784
35.29,17,35.29,13,6,0,0,Flexible Learner,22,14784
50.0,12,68.1,14,6,1,0,Flexible Learner,22,14784
57.14,7,52.0,15,4,0,1,Flexible Learner,22,14784
54.55,11,54.55,16,6,0,0,Flexible Learner,22,14784
65.22,23,71.72,17,15,0,0,Flexible Learner,22,14784
20.0,5,66.43,1,1,0,0,Weekend Learner,23,14785
66.67,3,75.0,2,2,0,0,Weekend Learner,23,14785
25.0,4,25.0,3,1,0,0,Weekend Learner,23,14785
41.67,12,59.13,4,5,0,0,Weekend Learner,23,14785
33.33,9,64.29,5,3,1,0,Weekend Learner,23,14785
60.0,5,60.0,6,3,0,0,Weekend Learner,23,14785
52.17,23,82.09,7,12,1,0,Weekend Learner,23,14785
38.24,34,47.24,8,13,0,1,Weekend Learner,23,14785
41.67,12,55.28,9,5,0,1,Weekend Learner,23,14785
31.58,19,40.62,10,6,0,1,Weekend Learner,23,14785
77.78,9,85.0,11,7,0,0,Weekend Learner,23,14785
62.5,8,66.67,12,5,0,1,Weekend Learner,23,14785
72.22,18,79.71,13,13,0,0,Weekend Learner,23,14785
45.45,11,78.64,14,5,1,0,Weekend Learner,23,14785
50.0,22,58.16,15,11,0,1,Weekend Learner,23,14785
50.0,4,73.33,16,2,1,0,Weekend Learner,23,14785
26.67,15,59.58,17,4,0,0,Weekend Learner,23,14785
63.64,11,63.64,1,7,0,0,Weekend Learner,24,14786
66.67,3,80.0,2,2,1,0,Weekend Learner,24,14786
54.55,11,73.75,4,6,0,0,Weekend Learner,24,14786
30.0,10,54.78,5,3,0,0,Weekend Learner,24,14786
31.58,38,64.29,6,12,0,0,Weekend Learner,24,14786
25.0,4,64.44,8,1,0,0,Weekend Learner,24,14786
58.33,12,70.0,9,7,0,0,Weekend Learner,24,14786
75.0,8,76.56,10,6,0,0,Weekend Learner,24,14786
75.0,8,86.43,11,6,0,0,Weekend Learner,24,14786
60.0,5,73.91,12,3,0,0,Weekend Learner,24,14786
86.67,15,92.65,13,13,1,0,Weekend Learner,24,14786
35.29,17,53.75,15,6,0,0,Weekend Learner,24,14786
62.5,16,62.5,16,10,0,1,Weekend Learner,24,14786
33.33,12,33.33,1,4,0,0,Flexible Learner,25,14787
20.0,5,12.5,2,1,0,0,Flexible Learner,25,14787
50.0,14,50.0,3,7,0,0,Flexible Learner,25,14787
5.41,37,20.0,4,2,0,1,Flexible Learner,25,14787
40.0,20,36.36,5,8,0,0,Flexible Learner,25,14787
0.0,4,30.0,6,0,1,0,Flexible Learner,25,14787
15.38,26,21.29,7,4,0,1,Flexible Learner,25,14787
75.0,4,85.0,8,3,1,0,Flexible Learner,25,14787
7.69,13,12.5,9,1,0,1,Flexible Learner,25,14787
16.67,18,28.7,10,3,0,0,Flexible Learner,25,14787
33.33,9,33.33,11,3,1,0,Flexible Learner,25,14787
57.14,7,56.25,12,4,0,0,Flexible Learner,25,14787
66.67,18,66.67,13,12,1,0,Flexible Learner,25,14787
20.0,15,22.5,14,3,0,1,Flexible Learner,25,14787
23.08,13,25.26,15,3,0,0,Flexible Learner,25,14787
44.44,9,36.36,16,4,0,0,Flexible Learner,25,14787
25.0,4,25.0,17,1,0,0,Flexible Learner,25,14787
22.22,18,33.4,1,4,0,1,Flexible Learner,26,14788
60.0,5,78.57,2,3,0,0,Flexible Learner,26,14788
57.14,7,85.0,3,4,1,0,Flexible Learner,26,14788
0.0,3,55.0,4,0,1,0,Flexible Learner,26,14788
16.67,6,47.67,5,1,0,1,Flexible Learner,26,14788
21.05,38,31.77,6,8,0,1,Flexible Learner,26,14788
66.67,3,89.29,7,2,0,0,Flexible Learner,26,14788
39.29,28,51.05,8,11,0,1,Flexible Learner,26,14788
26.09,23,40.0,10,6,0,1,Flexible Learner,26,14788
85.71,7,85.71,11,6,0,0,Flexible Learner,26,14788
50.0,16,66.29,13,8,0,0,Flexible Learner,26,14788
50.0,6,50.0,14,3,0,0,Flexible Learner,26,14788
100.0,1,100.0,15,1,0,0,Flexible Learner,26,14788
90.0,10,90.0,16,9,0,0,Flexible Learner,26,14788
40.0,15,67.29,17,6,0,0,Flexible Learner,26,14788
50.0,6,50.0,2,3,0,1,Fresh Starter,27,14789
35.29,17,35.29,4,6,0,0,Fresh Starter,27,14789
0.0,7,43.61,5,0,0,0,Fresh Starter,27,14789
70.0,10,70.0,6,7,0,0,Fresh Starter,27,14789
33.33,3,56.25,7,1,0,0,Fresh Starter,27,14789
66.67,6,66.67,8,4,1,0,Fresh Starter,27,14789
18.18,11,36.5,9,2,0,1,Fresh Starter,27,14789
38.46,13,38.46,10,5,0,0,Fresh Starter,27,14789
16.67,6,16.67,11,1,0,1,Fresh Starter,27,14789
50.0,6,50.0,13,3,1,0,Fresh Starter,27,14789
40.0,5,40.0,15,2,0,0,Fresh Starter,27,14789
100.0,2,100.0,16,2,0,0,Fresh Starter,27,14789
20.0,5,20.0,1,1,1,0,Fresh Starter,28,14790
16.67,6,16.67,2,1,0,1,Fresh Starter,28,14790
22.22,9,22.22,4,2,0,0,Fresh Starter,28,14790
60.0,5,60.0,6,3,0,0,Fresh Starter,28,14790
66.67,3,62.5,7,2,0,0,Fresh Starter,28,14790
50.0,4,50.0,8,2,0,0,Fresh Starter,28,14790
40.0,5,40.0,9,2,1,0,Fresh Starter,28,14790
71.43,7,71.43,11,5,1,0,Fresh Starter,28,14790
0.0,2,16.0,13,0,0,0,Fresh Starter,28,14790
25.0,4,25.0,15,1,0,0,Fresh Starter,28,14790
12.5,8,12.5,16,1,0,1,Fresh Starter,28,14790
33.33,3,33.33,2,1,0,1,Fresh Starter,29,14791
50.0,4,66.25,3,2,1,0,Fresh Starter,29,14791
12.5,8,12.5,5,1,0,1,Fresh Starter,29,14791
50.0,6,50.0,7,3,1,0,Fresh Starter,29,14791
28.57,7,28.57,10,2,0,0,Fresh Starter,29,14791
40.0,5,40.0,12,2,0,0,Fresh Starter,29,14791
42.86,7,42.86,15,3,0,0,Fresh Starter,29,14791
40.0,10,50.0,16,4,0,1,Fresh Starter,29,14791
33.33,6,33.33,17,2,0,0,Fresh Starter,29,14791
44.44,9,58.57,1,4,0,0,Weekend Learner,30,14792
55.56,9,55.56,2,5,0,0,Weekend Learner,30,14792
0.0,9,34.17,3,0,0,0,Weekend Learner,30,14792
44.44,9,44.44,4,4,1,0,Weekend Learner,30,14792
27.27,11,39.0,5,3,0,0,Weekend Learner,30,14792
18.75,16,22.5,6,3,0,1,Weekend Learner,30,14792
57.14,7,57.14,7,4,1,0,Weekend Learner,30,14792
50.0,10,53.57,9,5,0,0,Weekend Learner,30,14792
33.33,12,50.29,10,4,0,0,Weekend Learner,30,14792
16.0,25,16.0,11,4,0,1,Weekend Learner,30,14792
33.33,9,50.24,12,3,0,1,Weekend Learner,30,14792
35.0,40,35.0,13,14,0,1,Weekend Learner,30,14792
46.15,13,61.08,14,6,0,0,Weekend Learner,30,14792
15.79,19,24.73,15,3,0,1,Weekend Learner,30,14792
90.91,11,90.91,16,10,0,0,Weekend Learner,30,14792
33.33,6,33.33,17,2,0,0,Weekend Learner,30,14792
0.0,3,35.0,1,0,0,0,Flexible Learner,31,14793
42.86,7,42.31,2,3,0,1,Flexible Learner,31,14793
