active_day_ratio,active_days,active_days_last_7_days,avg_session_minutes,avg_time_per_question,evening_session_ratio,max_streak,pattern_label,persona,questions_per_session,recent_active_day_ratio,session_growth_ratio,sessions_last_7_days,sessions_previous_7_days,study_minutes_last_7_days,study_minutes_previous_7_days,synthetic_student_index,total_questions,total_sessions,total_study_minutes,user_id,weekend_session_ratio
1.0,23,1,9.03,81.96,0.7391,2,Fresh Starter,Fresh Starter,5.39,1.0,-0.5,1,2,8.35,14.42,62,124,23,207.73,14824,0.2174
0.7949,31,2,16.26,163.0,0.7179,3,Flexible Learner,Flexible Learner,5.28,1.0,1.0,2,1,24.35,12.05,63,206,39,634.12,14825,0.359
0.8919,33,2,9.7,97.76,0.7838,3,Flexible Learner,Flexible Learner,4.78,1.0,1.0,2,1,12.32,6.68,64,177,37,358.73,14826,0.2703
0.7347,36,4,17.08,177.42,1.0,4,Consistent Climber,Consistent Climber,5.16,1.0,0.0,4,4,45.72,40.55,65,253,49,836.7,14827,0.0
0.8276,24,3,11.42,108.22,0.7241,3,Flexible Learner,Flexible Learner,5.38,1.0,0.5,3,2,20.12,10.88,66,156,29,331.18,14828,0.1724
0.9091,20,2,12.52,142.94,1.0,2,Deep Focus Learner,Deep Focus Learner,4.5,1.0,1.0,2,1,39.12,11.52,67,99,22,275.33,14829,0.2727
0.7636,42,3,14.39,140.42,0.7091,3,Flexible Learner,Flexible Learner,5.29,0.6,0.0,5,5,61.85,85.77,68,291,55,791.72,14830,0.4
0.6364,14,1,8.77,78.17,0.3182,2,Weekend Learner,Weekend Learner,5.41,1.0,1,1,0,9.62,0.0,69,119,22,192.88,14831,1.0
0.7895,30,2,11.17,102.13,1.0,3,Deep Focus Learner,Deep Focus Learner,5.39,0.6667,0.5,3,2,23.15,17.4,70,205,38,424.63,14832,0.3158
0.6338,45,4,11.42,103.59,1.0,3,Consistent Climber,Consistent Climber,5.61,0.8,0.25,5,4,67.97,38.42,71,398,71,811.17,14833,0.0
1.0,16,1,13.41,107.15,0.625,2,Fresh Starter,Fresh Starter,6.5,1.0,1,1,0,13.58,0.0,72,104,16,214.63,14834,0.5
1.0,11,0,16.0,126.42,0.9091,2,Fresh Starter,Fresh Starter,6.64,0,-1.0,0,1,0.0,9.38,73,73,11,176.03,14835,0.1818
0.8286,29,4,13.77,138.5,1.0,4,Deep Focus Learner,Deep Focus Learner,5.17,0.8,4.0,5,1,66.12,36.27,74,181,35,481.78,14836,0.3143
0.7059,48,3,10.34,98.03,1.0,5,Consistent Climber,Consistent Climber,5.19,0.75,-0.3333,4,6,51.18,49.78,75,353,68,702.8,14837,0.0
0.8857,31,1,10.49,98.79,0.8,3,Flexible Learner,Flexible Learner,5.23,1.0,-0.6667,1,3,14.67,24.08,76,183,35,367.13,14838,0.2857
1.0,13,1,12.21,151.88,0.9231,4,Fresh Starter,Fresh Starter,4.0,1.0,0.0,1,1,9.17,20.3,77,52,13,158.77,14839,0.1538
0.561,23,1,12.2,140.78,0.1463,2,Weekend Learner,Weekend Learner,4.39,1.0,-0.6667,1,3,11.42,76.05,78,180,41,500.4,14840,0.9756
0.9167,33,5,11.02,115.89,0.6944,4,Flexible Learner,Flexible Learner,4.69,1.0,0.6667,5,3,77.08,42.13,79,169,36,396.75,14841,0.3056
0.8696,20,1,11.99,94.92,1.0,2,Deep Focus Learner,Deep Focus Learner,6.3,1.0,0.0,1,1,6.05,12.62,80,145,23,275.88,14842,0.3478
0.9062,29,2,12.78,112.11,1.0,4,Deep Focus Learner,Deep Focus Learner,5.78,1.0,-0.5,2,4,19.47,85.67,81,185,32,408.8,14843,0.125
0.7288,43,3,9.37,80.36,1.0,4,Consistent Climber,Consistent Climber,5.63,0.75,-0.3333,4,6,27.85,61.17,82,332,59,552.8,14844,0.0
0.4681,22,2,11.58,135.2,0.1277,2,Weekend Learner,Weekend Learner,4.32,0.4,0.6667,5,3,88.05,38.18,83,203,47,544.23,14845,1.0
1.0,10,0,8.5,73.38,0.6,2,Fresh Starter,Fresh Starter,5.5,0,-1.0,0,1,0.0,5.67,84,55,10,85.03,14846,0.3
0.7955,35,3,10.14,102.53,0.7727,3,Flexible Learner,Flexible Learner,4.89,0.75,0.3333,4,3,41.53,25.13,85,215,44,446.18,14847,0.25
0.7818,43,3,15.61,162.84,1.0,4,High Achiever,High Achiever,5.04,1.0,-0.5714,3,7,43.45,115.13,86,277,55,858.35,14848,0.1273
0.7547,40,1,11.75,117.2,0.8113,5,Flexible Learner,Flexible Learner,5.09,1.0,-0.8333,1,6,6.03,52.32,87,270,53,622.72,14849,0.2453
0.8667,39,3,12.82,115.52,0.6,4,Flexible Learner,Flexible Learner,5.62,1.0,-0.4,3,5,87.68,68.3,88,253,45,577.02,14850,0.4
0.6471,22,2,10.62,97.64,0.1471,2,Weekend Learner,Weekend Learner,5.35,1.0,-0.3333,2,3,23.07,24.98,89,182,34,361.03,14851,0.9706
0.6806,49,3,16.1,148.13,1.0,5,Consistent Climber,Consistent Climber,5.76,0.6,0.0,5,5,47.4,47.37,90,415,72,1159.28,14852,0.0
0.6667,46,4,11.57,115.79,1.0,3,High Achiever,High Achiever,5.04,0.5714,0.4,7,5,87.13,42.9,91,348,69,798.3,14853,0.1884
0.9545,21,1,11.95,124.19,1.0,2,Deep Focus Learner,Deep Focus Learner,4.82,1.0,0.0,1,1,8.22,8.75,92,106,22,262.98,14854,0.1364
0.8163,40,3,11.17,104.9,0.6327,5,Flexible Learner,Flexible Learner,5.39,0.75,3.0,4,1,40.35,7.98,93,264,49,547.5,14855,0.2857
0.8667,26,4,11.44,104.04,1.0,3,Deep Focus Learner,Deep Focus Learner,5.37,0.6667,2.0,6,2,51.5,41.2,94,161,30,343.25,14856,0.3333
0.7255,37,2,10.09,87.56,0.8235,4,Flexible Learner,Flexible Learner,5.59,0.6667,-0.4,3,5,28.55,51.3,95,285,51,514.83,14857,0.3137
0.8085,38,3,12.99,137.43,0.766,4,Flexible Learner,Flexible Learner,4.89,1.0,-0.25,3,4,27.47,67.88,96,230,47,610.53,14858,0.1915
0.6941,59,4,10.4,90.42,1.0,6,High Achiever,High Achiever,5.68,0.6667,-0.3333,6,9,45.17,76.85,97,483,85,883.92,14859,0.1059
0.7174,33,4,12.4,123.61,1.0,4,Consistent Climber,Consistent Climber,5.17,0.8,0.25,5,4,50.2,40.77,98,238,46,570.32,14860,0.0
1.0,11,1,15.55,129.99,0.8182,1,Fresh Starter,Fresh Starter,6.18,1.0,0.0,1,1,38.32,7.35,99,68,11,171.03,14861,0.3636
0.9524,20,3,17.12,164.76,1.0,3,Deep Focus Learner,Deep Focus Learner,5.62,1.0,0.5,3,2,49.38,63.18,100,118,21,359.43,14862,0.381
0.6727,37,3,13.96,140.46,1.0,5,Consistent Climber,Consistent Climber,5.18,1.0,0.5,3,2,21.12,17.93,101,285,55,767.62,14863,0.0
0.7429,26,1,12.79,112.77,0.7143,3,Flexible Learner,Flexible Learner,5.71,0.5,-0.6,2,5,32.42,70.6,102,200,35,447.72,14864,0.1143
0.5974,46,3,12.41,133.25,1.0,5,Consistent Climber,Consistent Climber,4.65,0.75,-0.2,4,5,48.42,53.23,103,358,77,955.73,14865,0.0
0.9062,29,2,12.87,112.79,0.6875,3,Flexible Learner,Flexible Learner,5.81,1.0,0.0,2,2,18.08,18.65,104,186,32,411.95,14866,0.3438
0.8276,24,1,9.84,86.88,1.0,2,Deep Focus Learner,Deep Focus Learner,5.45,1.0,-0.5,1,2,7.33,20.6,105,158,29,285.25,14867,0.3103
0.8108,30,3,11.04,108.78,1.0,2,Deep Focus Learner,Deep Focus Learner,4.97,1.0,-0.5714,3,7,28.35,52.98,106,184,37,408.6,14868,0.3243
0.6842,39,4,14.01,147.34,1.0,5,Consistent Climber,Consistent Climber,4.93,0.6667,0.0,6,6,123.55,52.12,107,281,57,798.43,14869,0.0
0.9,27,1,9.94,87.8,1.0,3,Deep Focus Learner,Deep Focus Learner,5.43,1.0,0.0,1,1,8.0,12.53,108,163,30,298.18,14870,0.2333
0.7941,27,2,13.73,129.61,0.6765,2,Flexible Learner,Flexible Learner,5.53,1.0,1.0,2,1,15.5,8.0,109,188,34,466.82,14871,0.2941
0.9032,28,0,13.0,123.81,1.0,6,Deep Focus Learner,Deep Focus Learner,5.39,0,-1.0,0,3,0.0,29.47,110,167,31,403.0,14872,0.1935
0.9355,29,1,11.57,110.07,0.7097,3,Flexible Learner,Flexible Learner,5.32,1.0,-0.5,1,2,2.92,15.35,111,165,31,358.8,14873,0.2581
0.8387,26,1,10.88,117.9,0.7419,2,Flexible Learner,Flexible Learner,4.52,1.0,-0.6667,1,3,15.32,27.33,112,140,31,337.37,14874,0.2258
0.6857,48,3,10.52,92.96,1.0,5,Consistent Climber,Consistent Climber,5.6,0.75,0.0,4,4,39.87,47.98,113,392,70,736.65,14875,0.0
0.74,37,2,12.8,131.52,0.68,5,Flexible Learner,Flexible Learner,4.98,1.0,0.0,2,2,21.48,13.35,114,249,50,639.83,14876,0.38
0.7167,43,3,13.64,129.05,1.0,4,Consistent Climber,Consistent Climber,5.52,0.75,-0.2,4,5,80.87,65.95,115,331,60,818.33,14877,0.0
0.5366,22,1,11.89,105.01,0.1951,3,Weekend Learner,Weekend Learner,5.76,0.3333,0.5,3,2,23.72,33.63,116,236,41,487.63,14878,0.9268
0.6901,49,4,11.98,109.02,1.0,4,High Achiever,High Achiever,5.55,1.0,-0.3333,4,6,39.5,62.63,117,394,71,850.55,14879,0.1408
0.8276,24,1,10.01,95.1,1.0,2,Deep Focus Learner,Deep Focus Learner,5.03,1.0,-0.6667,1,3,7.23,26.37,118,146,29,290.32,14880,0.2414
0.6111,22,2,9.21,82.56,0.25,2,Weekend Learner,Weekend Learner,5.39,0.5,-0.3333,4,6,34.68,50.2,119,194,36,331.62,14881,0.9722
0.662,47,3,11.66,119.65,1.0,5,Consistent Climber,Consistent Climber,4.97,1.0,-0.4,3,5,55.57,31.08,120,353,71,827.87,14882,0.0
0.5556,25,1,9.01,86.07,0.2444,2,Weekend Learner,Weekend Learner,5.09,1.0,-0.5,1,2,5.1,20.08,121,229,45,405.37,14883,1.0
0.76,38,3,13.89,127.84,0.78,3,Flexible Learner,Flexible Learner,5.64,1.0,-0.5714,3,7,28.22,76.28,122,282,50,694.73,14884,0.32
0.9355,29,0,10.5,97.6,1.0,2,Deep Focus Learner,Deep Focus Learner,5.23,0,-1.0,0,3,0.0,26.18,123,162,31,325.38,14885,0.1935
0.8261,38,1,11.24,97.38,0.7391,4,Flexible Learner,Flexible Learner,5.8,1.0,-0.75,1,4,6.0,44.52,124,267,46,517.18,14886,0.3261
1.0,19,0,15.85,159.74,0.4211,2,Fresh Starter,Fresh Starter,5.26,0,-1.0,0,1,0.0,11.45,125,100,19,301.07,14887,0.3684
0.7059,36,3,15.94,163.11,1.0,4,Consistent Climber,Consistent Climber,5.16,1.0,-0.4,3,5,32.22,82.15,126,263,51,812.88,14888,0.0
0.6567,44,1,16.38,173.88,1.0,5,Consistent Climber,Consistent Climber,5.01,0.5,-0.5,2,4,20.77,35.9,127,336,67,1097.58,14889,0.0
0.8611,31,3,10.6,89.48,1.0,3,Deep Focus Learner,Deep Focus Learner,5.72,0.75,1.0,4,2,44.55,21.97,128,206,36,381.68,14890,0.25
0.8667,26,3,11.31,104.68,1.0,3,Deep Focus Learner,Deep Focus Learner,5.47,1.0,0.5,3,2,28.35,14.48,129,164,30,339.35,14891,0.2667
0.7708,37,2,14.94,143.37,1.0,4,Consistent Climber,Consistent Climber,5.48,0.6667,0.0,3,3,36.52,36.3,130,263,48,717.02,14892,0.0
1.0,15,3,8.82,82.81,0.4,2,Fresh Starter,Fresh Starter,4.93,1.0,3,3,0,24.12,0.0,131,74,15,132.33,14893,0.2667
0.5,16,2,15.88,147.57,0.2188,2,Weekend Learner,Weekend Learner,5.75,0.3333,6,6,0,51.13,0.0,132,184,32,508.12,14894,1.0
0.6538,51,4,12.47,113.88,1.0,5,High Achiever,High Achiever,5.59,0.6667,0.2,6,5,92.5,135.65,133,436,78,972.45,14895,0.1154
0.9375,30,0,11.42,129.94,1.0,3,Deep Focus Learner,Deep Focus Learner,4.47,0,-1.0,0,3,0.0,33.13,134,143,32,365.55,14896,0.3438
0.6575,48,3,11.77,108.8,1.0,5,High Achiever,High Achiever,5.47,0.375,1.6667,8,3,132.48,31.03,135,399,73,859.15,14897,0.1096
0.5455,24,2,15.0,157.21,0.1818,3,Weekend Learner,Weekend Learner,4.98,0.4,0.6667,5,3,65.82,36.28,136,219,44,659.97,14898,0.9545
0.6027,44,3,10.93,99.18,1.0,5,Consistent Climber,Consistent Climber,5.56,0.75,-0.5,4,8,33.92,65.78,137,406,73,797.53,14899,0.0
1.0,8,0,17.12,219.21,0.5,1,Fresh Starter,Fresh Starter,4.25,0,0,0,0,0.0,0.0,138,34,8,136.98,14900,0.375
0.7963,43,6,9.86,91.2,0.7037,5,Flexible Learner,Flexible Learner,5.35,0.6667,0.5,9,6,116.55,58.0,139,289,54,532.65,14901,0.1481
0.6984,44,3,10.43,89.85,1.0,5,High Achiever,High Achiever,5.65,0.75,-0.3333,4,6,51.25,49.08,140,356,63,657.28,14902,0.127
0.6667,16,2,19.59,178.59,0.1667,2,Weekend Learner,Weekend Learner,5.96,0.6667,2.0,3,1,84.78,6.23,141,143,24,470.18,14903,1.0
0.6914,56,4,15.0,149.22,1.0,5,High Achiever,High Achiever,5.26,0.5714,0.4,7,5,99.2,97.97,142,426,81,1214.98,14904,0.1728
1.0,14,1,8.24,78.42,0.5714,3,Fresh Starter,Fresh Starter,5.14,1.0,1,1,0,13.85,0.0,143,72,14,115.33,14905,0.2143
0.9545,21,1,15.03,184.79,1.0,3,Deep Focus Learner,Deep Focus Learner,4.32,1.0,1,1,0,7.18,0.0,144,95,22,330.7,14906,0.3636
0.7292,35,3,12.25,118.12,0.75,4,Flexible Learner,Flexible Learner,5.23,0.75,-0.3333,4,6,53.72,104.58,145,251,48,588.03,14907,0.3542
0.8667,26,3,12.37,106.79,0.7333,5,Flexible Learner,Flexible Learner,5.8,0.75,0.0,4,4,72.7,60.95,146,174,30,371.03,14908,0.2667
1.0,21,0,13.23,139.8,0.5714,3,Fresh Starter,Fresh Starter,4.86,0,-1.0,0,1,0.0,6.2,147,102,21,277.93,14909,0.1905
0.8333,25,5,14.46,132.07,0.6667,3,Flexible Learner,Flexible Learner,5.6,0.8333,2.0,6,2,114.92,22.88,148,168,30,433.95,14910,0.2667
0.7843,40,1,15.87,140.17,0.8039,4,Flexible Learner,Flexible Learner,5.92,1.0,-0.6667,1,3,10.83,26.83,149,302,51,809.47,14911,0.3333
0.6571,46,5,12.48,120.8,1.0,5,High Achiever,High Achiever,5.17,0.625,0.6,8,5,80.17,72.95,150,362,70,873.58,14912,0.1714
0.9,36,4,12.11,129.17,0.775,3,Flexible Learner,Flexible Learner,4.75,1.0,0.0,4,4,34.37,39.98,151,190,40,484.23,14913,0.4
0.9259,25,1,15.58,131.26,1.0,2,Deep Focus Learner,Deep Focus Learner,6.22,1.0,0.0,1,1,7.18,8.97,152,168,27,420.65,14914,0.2222
0.9062,29,2,9.61,85.14,1.0,5,Deep Focus Learner,Deep Focus Learner,5.47,1.0,0.0,2,2,16.82,21.53,153,175,32,307.57,14915,0.25
0.8333,25,3,12.94,118.54,1.0,3,Deep Focus Learner,Deep Focus Learner,5.63,0.75,3.0,4,1,88.3,43.98,154,169,30,388.33,14916,0.3667
1.0,20,2,11.74,124.11,0.6,2,Fresh Starter,Fresh Starter,4.85,1.0,1.0,2,1,16.25,6.52,155,97,20,234.8,14917,0.2
0.8684,33,1,12.5,119.25,0.7895,3,Flexible Learner,Flexible Learner,5.37,1.0,-0.6667,1,3,10.7,24.92,156,204,38,474.97,14918,0.3684
0.7391,34,2,12.29,139.48,0.8043,4,Flexible Learner,Flexible Learner,4.46,1.0,-0.3333,2,3,17.25,27.9,157,205,46,565.35,14919,0.2391
0.6818,15,1,12.37,143.88,0.2273,2,Weekend Learner,Weekend Learner,4.45,1.0,-0.6667,1,3,11.88,37.72,158,98,22,272.17,14920,1.0
0.5625,18,0,14.14,156.73,0.1562,2,Weekend Learner,Weekend Learner,4.66,0,-1.0,0,4,0.0,42.93,159,149,32,452.52,14921,0.9688
0.72,36,3,11.27,98.47,0.58,3,Flexible Learner,Flexible Learner,5.68,1.0,-0.25,3,4,27.48,37.42,160,284,50,563.4,14922,0.24
0.9231,36,2,10.42,94.01,0.7436,5,Flexible Learner,Flexible Learner,5.54,1.0,1.0,2,1,16.52,5.57,161,216,39,406.33,14923,0.4103
0.6571,23,1,12.68,121.13,0.1143,2,Weekend Learner,Weekend Learner,5.4,1.0,-0.6667,1,3,9.13,29.58,162,189,35,443.73,14924,0.9714
0.75,30,1,11.15,98.88,0.725,4,Flexible Learner,Flexible Learner,5.55,1.0,-0.6667,1,3,45.53,24.87,163,222,40,445.95,14925,0.275
0.7838,29,3,9.74,89.98,1.0,3,Deep Focus Learner,Deep Focus Learner,5.22,0.75,0.3333,4,3,38.27,40.87,164,193,37,360.28,14926,0.2432
0.5952,25,1,11.92,105.95,0.1905,2,Weekend Learner,Weekend Learner,5.67,0.3333,0.5,3,2,22.42,58.0,165,238,42,500.83,14927,1.0
0.5897,23,2,15.75,154.2,0.2051,3,Weekend Learner,Weekend Learner,5.36,0.2857,0.75,7,4,101.65,52.97,166,209,39,614.12,14928,0.9744
0.7547,40,5,10.73,95.59,0.6792,4,Flexible Learner,Flexible Learner,5.57,0.8333,1.0,6,3,62.7,32.18,167,295,53,568.82,14929,0.2453
