active_days,avg_session_minutes,avg_time_per_question,avg_topic_mastery,hard_accuracy_percent,hidden_ability,max_streak,original_profile_target_grade,original_profile_target_score,overall_accuracy,overall_accuracy_percent,paper1_accuracy,paper1_accuracy_percent,paper2_accuracy,paper2_accuracy_percent,persona,recent_accuracy,recent_accuracy_percent,score_ratio_percent,strong_topic_count,study_consistency_score,synthetic_student_index,target_grade,target_score,total_questions_attempted,total_sessions,total_study_minutes,user_id,weak_topic_count
28,9.82,95.81,43.6,28.12,0.6357,4,B,62.35,0.4438,44.38,0.4603,46.03,0.3824,38.24,Flexible Learner,0.4,40.0,50.49,1,30,31,C,51.04,160,32,314.18,14793,9
31,13.71,139.32,54.29,39.29,0.695,4,B+,65.25,0.475,47.5,0.5545,55.45,0.3939,39.39,Flexible Learner,0.45,45.0,57.44,2,42,32,B,63.03,200,38,520.83,14794,5
25,10.99,104.09,52.59,38.71,0.647,4,C+,58.65,0.4655,46.55,0.504,50.4,0.3673,36.73,Deep Focus Learner,0.5,50.0,52.96,1,30,33,C+,57.76,174,33,362.68,14795,5
29,12.75,136.51,35.78,19.05,0.5822,3,C,53.24,0.3354,33.54,0.3488,34.88,0.3194,31.94,Flexible Learner,0.25,25.0,43.08,0,54,34,D,48.72,158,33,420.8,14796,11
24,11.68,108.82,57.28,52.31,0.7146,3,B+,69.04,0.5377,53.77,0.5617,56.17,0.4324,43.24,Weekend Learner,0.5,50.0,56.34,2,54,35,B,63.41,199,37,432.3,14797,5
39,16.25,161.55,76.38,63.87,0.9252,5,A+,97.0,0.7509,75.09,0.8462,84.62,0.6812,68.12,High Achiever,0.75,75.0,88.06,7,30,36,A,83.93,277,52,845.13,14798,0
17,16.09,167.06,51.63,22.0,0.7096,2,B+,66.75,0.4965,49.65,0.6809,68.09,0.4062,40.62,Weekend Learner,0.45,45.0,61.23,3,85,37,B+,66.61,143,28,450.45,14799,7
16,9.13,84.78,54.67,16.67,0.6965,2,B,64.85,0.4632,46.32,0.4474,44.74,0.5263,52.63,Deep Focus Learner,0.4,40.0,52.82,1,24,38,C+,56.74,95,19,173.45,14800,4
31,11.88,122.1,48.78,12.9,0.5599,4,C,52.65,0.4233,42.33,0.3733,37.33,0.4659,46.59,Deep Focus Learner,0.2,20.0,53.71,2,74,39,B,63.09,163,33,392.02,14801,7
28,13.16,138.31,35.6,12.96,0.4522,5,D,45.97,0.3155,31.55,0.4505,45.05,0.1558,15.58,Flexible Learner,0.3,30.0,37.24,0,58,40,E,42.68,168,34,447.52,14802,11
35,11.86,106.48,36.4,20.59,0.5085,5,E,44.92,0.3237,32.37,0.3304,33.04,0.2917,29.17,Flexible Learner,0.2,20.0,38.77,0,70,41,D,46.68,278,49,580.97,14803,13
18,9.2,78.25,27.92,17.65,0.4232,2,G,37.9,0.275,27.5,0.2778,27.78,0.25,25.0,Weekend Learner,0.15,15.0,30.64,0,75,42,G,39.32,120,22,202.5,14804,11
31,8.75,80.54,78.4,60.78,0.8591,2,A+,92.19,0.7043,70.43,0.7056,70.56,0.697,69.7,Consistent Climber,0.8,80.0,75.56,8,94,43,A+,91.4,230,46,402.35,14805,1
26,14.06,161.67,33.15,11.36,0.5448,2,C,50.56,0.2937,29.37,0.3333,33.33,0.254,25.4,Deep Focus Learner,0.3,30.0,39.12,1,74,44,D,46.24,126,28,393.68,14806,10
45,11.7,105.76,46.66,32.0,0.6511,4,B+,65.75,0.4155,41.55,0.4585,45.85,0.2584,25.84,Consistent Climber,0.55,55.0,49.82,0,58,45,C,54.53,414,74,866.02,14807,10
32,11.63,96.61,45.09,46.55,0.6816,3,B+,65.82,0.4758,47.58,0.4856,48.56,0.425,42.5,Flexible Learner,0.5,50.0,54.25,0,54,46,C+,56.82,248,41,476.97,14808,8
16,11.92,127.77,49.14,20.0,0.606,3,D,45.83,0.3919,39.19,0.4,40.0,0.3846,38.46,Fresh Starter,0.35,35.0,50.62,2,24,47,C,50.14,74,16,190.68,14809,5
41,15.12,163.96,28.07,18.75,0.5168,3,D,45.7,0.2591,25.91,0.375,37.5,0.1854,18.54,Flexible Learner,0.1,10.0,35.87,0,98,48,D,46.82,247,51,771.15,14810,13
22,15.61,142.36,36.27,11.59,0.4448,2,E,42.29,0.2788,27.88,0.3088,30.88,0.2333,23.33,Weekend Learner,0.25,25.0,37.17,0,42,49,E,44.69,226,39,608.87,14811,10
46,17.63,176.53,58.96,45.32,0.8494,5,A,85.7,0.5805,58.05,0.6742,67.42,0.5178,51.78,Consistent Climber,0.5,50.0,78.85,4,94,50,A,84.71,329,62,1093.23,14812,5
36,13.35,131.83,65.83,49.5,0.8563,5,A,85.08,0.613,61.3,0.6022,60.22,0.6277,62.77,Consistent Climber,0.45,45.0,74.5,1,70,51,A,80.59,323,62,828.0,14813,1
21,11.78,126.38,13.0,0.0,0.396,2,G,27.68,0.1546,15.46,0.2069,20.69,0.0769,7.69,Fresh Starter,0.05,5.0,22.56,0,42,52,G,23.87,97,21,247.38,14814,12
23,12.85,108.99,63.67,41.67,0.7048,3,B+,66.61,0.5976,59.76,0.6742,67.42,0.3243,32.43,Deep Focus Learner,0.6,60.0,64.88,3,30,53,B+,68.78,169,28,359.92,14815,2
59,16.68,171.31,63.15,45.99,0.7954,6,A-,79.95,0.5775,57.75,0.6265,62.65,0.5484,54.84,High Achiever,0.7,70.0,77.45,4,98,54,A,85.32,445,86,1434.5,14816,4
43,14.13,143.32,66.99,43.01,0.8152,5,A,85.54,0.6124,61.24,0.6693,66.93,0.5573,55.73,High Achiever,0.55,55.0,75.27,4,70,55,A,81.49,258,50,706.38,14817,3
40,9.71,88.14,39.18,22.0,0.5166,4,D,46.18,0.3333,33.33,0.345,34.5,0.2571,25.71,Flexible Learner,0.6,60.0,35.95,0,42,56,E,43.45,264,50,485.53,14818,9
26,13.38,140.37,34.88,22.45,0.5225,2,C,52.25,0.3087,30.87,0.3563,35.63,0.2419,24.19,Flexible Learner,0.45,45.0,37.91,1,66,57,E,44.76,149,30,401.47,14819,10
29,11.05,105.5,55.07,40.0,0.6621,4,C+,59.6,0.4286,42.86,0.4354,43.54,0.4048,40.48,Flexible Learner,0.65,65.0,53.4,3,66,58,B,62.62,189,36,397.82,14820,8
16,12.62,120.17,37.51,28.12,0.5206,2,D,45.83,0.3281,32.81,0.3367,33.67,0.3,30.0,Weekend Learner,0.3,30.0,42.21,0,72,59,D,49.93,128,24,302.98,14821,9
31,15.07,168.1,45.34,25.93,0.7203,2,B+,65.52,0.4051,40.51,0.4198,41.98,0.3947,39.47,Flexible Learner,0.3,30.0,56.12,1,66,60,B,60.11,195,41,617.68,14822,8
41,10.55,102.82,38.3,23.38,0.601,5,B,60.68,0.3817,38.17,0.4038,40.38,0.3077,30.77,Consistent Climber,0.35,35.0,45.47,0,98,61,C+,57.13,338,67,707.1,14823,10
23,9.03,81.96,29.85,4.55,0.403,2,G,32.07,0.2339,23.39,0.2328,23.28,0.25,25.0,Fresh Starter,0.3,30.0,23.71,1,42,62,G,31.99,124,23,207.73,14824,10
31,16.26,163.0,34.12,12.5,0.4986,3,D,47.18,0.267,26.7,0.3333,33.33,0.2266,22.66,Flexible Learner,0.15,15.0,41.48,1,54,63,D,46.53,206,39,634.12,14825,11
33,9.7,97.76,58.61,43.14,0.7405,3,B+,69.57,0.5424,54.24,0.5578,55.78,0.4667,46.67,Flexible Learner,0.45,45.0,60.7,1,62,64,B+,68.89,177,37,358.73,14826,3
36,17.08,177.42,48.1,11.11,0.6058,4,B,62.12,0.336,33.6,0.4831,48.31,0.2561,25.61,Consistent Climber,0.45,45.0,43.58,3,78,65,C+,57.87,253,49,836.7,14827,6
24,11.42,108.22,52.16,27.27,0.6525,3,B,64.2,0.4679,46.79,0.487,48.7,0.4146,41.46,Flexible Learner,0.55,55.0,47.79,2,74,66,B,60.77,156,29,331.18,14828,6
20,12.52,142.94,39.57,33.33,0.669,2,B,64.69,0.404,40.4,0.4545,45.45,0.3788,37.88,Deep Focus Learner,0.55,55.0,60.26,1,54,67,B,61.79,99,22,275.33,14829,7
42,14.39,140.42,29.21,15.58,0.5183,3,D,47.51,0.2784,27.84,0.35,35.0,0.1622,16.22,Flexible Learner,0.3,30.0,35.25,0,90,68,D,45.9,291,55,791.72,14830,13
14,8.77,78.17,66.56,48.39,0.7416,2,A-,71.58,0.6471,64.71,0.6435,64.35,0.75,75.0,Weekend Learner,0.65,65.0,65.57,3,33,69,A-,70.16,119,22,192.88,14831,2
30,11.17,102.13,43.52,31.25,0.5987,3,C,53.81,0.4244,42.44,0.4438,44.38,0.3333,33.33,Deep Focus Learner,0.3,30.0,45.62,0,66,70,C,53.49,205,38,424.63,14832,7
45,11.42,103.59,56.55,29.7,0.6238,3,B+,68.08,0.4849,48.49,0.5202,52.02,0.3377,33.77,Consistent Climber,0.5,50.0,54.99,2,98,71,A-,70.43,398,71,811.17,14833,5
16,13.41,107.15,14.43,3.57,0.3608,2,G,25,0.125,12.5,0.1529,15.29,0.0,0.0,Fresh Starter,0.1,10.0,17.79,0,36,72,G,22.32,104,16,214.63,14834,10
11,16.0,126.42,17.91,5.0,0.3028,2,G,25,0.137,13.7,0.18,18.0,0.0435,4.35,Fresh Starter,0.05,5.0,20.55,0,16,73,G,21.99,73,11,176.03,14835,6
29,13.77,138.5,25.74,15.91,0.5248,4,D,47.51,0.2486,24.86,0.2772,27.72,0.2125,21.25,Deep Focus Learner,0.15,15.0,33.26,0,94,74,E,43.32,181,35,481.78,14836,11
48,10.34,98.03,57.17,37.33,0.67,5,B+,69.4,0.4958,49.58,0.5192,51.92,0.3939,39.39,Consistent Climber,0.45,45.0,53.85,1,78,75,B+,65.98,353,68,702.8,14837,4
31,10.49,98.79,38.64,20.0,0.474,3,D,47.37,0.3497,34.97,0.3673,36.73,0.2778,27.78,Flexible Learner,0.5,50.0,40.11,0,42,76,E,43.02,183,35,367.13,14838,9
13,12.21,151.88,14.07,0.0,0.4286,4,G,31.65,0.1346,13.46,0.1579,15.79,0.1212,12.12,Fresh Starter,0.25,25.0,20.99,0,31,77,G,20,52,13,158.77,14839,8
23,12.2,140.78,31.37,4.88,0.4595,2,D,45.81,0.2667,26.67,0.3375,33.75,0.21,21.0,Weekend Learner,0.15,15.0,33.53,0,42,78,G,37.43,180,41,500.4,14840,12
33,11.02,115.89,50.73,42.5,0.6812,4,B+,66.09,0.4675,46.75,0.5047,50.47,0.4032,40.32,Flexible Learner,0.35,35.0,59.4,1,90,79,B+,68.75,169,36,396.75,14841,8
20,11.99,94.92,33.3,22.58,0.5465,2,D,48.57,0.3379,33.79,0.3471,34.71,0.2917,29.17,Deep Focus Learner,0.45,45.0,40.8,0,42,80,E,44.94,145,23,275.88,14842,9
29,12.78,112.11,35.45,13.64,0.5514,4,C,50.2,0.2973,29.73,0.3497,34.97,0.119,11.9,Deep Focus Learner,0.45,45.0,32.73,1,58,81,E,41.67,185,32,408.8,14843,10
43,9.37,80.36,58.06,51.56,0.6896,4,A-,73.77,0.5331,53.31,0.5392,53.92,0.4615,46.15,Consistent Climber,0.75,75.0,56.36,3,82,82,B+,69.66,332,59,552.8,14844,5
22,11.58,135.2,25.23,1.96,0.4205,2,G,38.48,0.2118,21.18,0.2447,24.47,0.1835,18.35,Weekend Learner,0.1,10.0,31.34,0,90,83,E,41.27,203,47,544.23,14845,17
10,8.5,73.38,24.99,18.18,0.449,2,G,32.23,0.2545,25.45,0.2642,26.42,0.0,0.0,Fresh Starter,0.2,20.0,27.07,0,15,84,G,27.79,55,10,85.03,14846,8
35,10.14,102.53,34.25,24.32,0.6209,3,C+,56.95,0.3163,31.63,0.3235,32.35,0.2889,28.89,Flexible Learner,0.45,45.0,36.28,0,78,85,D,46.94,215,44,446.18,14847,11
43,15.61,162.84,69.26,52.54,0.8807,4,A,89.7,0.6534,65.34,0.7216,72.16,0.6167,61.67,High Achiever,0.65,65.0,81.1,5,66,86,A,84.04,277,55,858.35,14848,3
40,11.75,117.2,24.98,10.0,0.4537,5,E,40.36,0.2407,24.07,0.2718,27.18,0.16,16.0,Flexible Learner,0.2,20.0,30.87,0,42,87,G,33.76,270,53,622.72,14849,15
39,12.82,115.52,26.32,13.85,0.4559,4,G,39.17,0.2213,22.13,0.25,25.0,0.1449,14.49,Flexible Learner,0.2,20.0,27.29,0,66,88,G,33.86,253,45,577.02,14850,15
22,10.62,97.64,56.16,25.0,0.6654,2,B,62.67,0.5165,51.65,0.5442,54.42,0.4,40.0,Weekend Learner,0.45,45.0,54.83,2,54,89,B,62.76,182,34,361.03,14851,5
49,16.1,148.13,64.58,41.82,0.8477,5,A,87.27,0.612,61.2,0.7082,70.82,0.489,48.9,Consistent Climber,0.8,80.0,75.18,3,98,90,A,83.99,415,72,1159.28,14852,2
46,11.57,115.79,67.42,45.45,0.7996,3,A,85.8,0.6178,61.78,0.6627,66.27,0.4946,49.46,High Achiever,0.55,55.0,71.29,4,90,91,A,81.23,348,69,798.3,14853,2
21,11.95,124.19,44.73,22.73,0.5492,2,C,50.66,0.4245,42.45,0.4839,48.39,0.3409,34.09,Deep Focus Learner,0.5,50.0,45.86,1,42,92,C,50.05,106,22,262.98,14854,6
40,11.17,104.9,40.35,19.4,0.5169,5,D,48.7,0.322,32.2,0.3443,34.43,0.2308,23.08,Flexible Learner,0.45,45.0,35.25,1,82,93,C,50.4,264,49,547.5,14855,12
26,11.44,104.04,57.01,28.26,0.706,3,B+,68.81,0.5093,50.93,0.5109,51.09,0.5,50.0,Deep Focus Learner,0.35,35.0,57.05,1,90,94,B+,68.35,161,30,343.25,14856,5
37,10.09,87.56,44.96,27.59,0.5957,4,C+,56.52,0.4105,41.05,0.4157,41.57,0.3667,36.67,Flexible Learner,0.75,75.0,44.66,0,70,95,C,54.39,285,51,514.83,14857,7
38,12.99,137.43,58.95,30.67,0.7352,4,A-,71.6,0.5304,53.04,0.5917,59.17,0.4636,46.36,Flexible Learner,0.55,55.0,66.11,2,66,96,A-,73.2,230,47,610.53,14858,3
59,10.4,90.42,78.13,70.37,0.8747,6,A+,93.41,0.7702,77.02,0.778,77.8,0.726,72.6,High Achiever,0.9,90.0,81.63,7,90,97,A+,92.8,483,85,883.92,14859,0
33,12.4,123.61,34.26,25.0,0.589,4,B,60.27,0.3866,38.66,0.4258,42.58,0.3133,31.33,Consistent Climber,0.3,30.0,47.74,0,98,98,C+,55.97,238,46,570.32,14860,11
11,15.55,129.99,27.26,5.26,0.5134,1,G,37.02,0.2206,22.06,0.2826,28.26,0.0909,9.09,Fresh Starter,0.3,30.0,22.63,0,28,99,G,28.91,68,11,171.03,14861,5
20,17.12,164.76,43.05,38.6,0.7959,3,A-,75.55,0.4322,43.22,0.5143,51.43,0.3125,31.25,Deep Focus Learner,0.55,55.0,56.88,1,66,100,B,61.0,118,21,359.43,14862,6
37,13.96,140.46,51.55,36.47,0.6798,5,B+,68.64,0.4667,46.67,0.5532,55.32,0.3819,38.19,Consistent Climber,0.6,60.0,59.05,0,70,101,B+,65.64,285,55,767.62,14863,6
26,12.79,112.77,55.47,36.0,0.6345,3,B,62.01,0.475,47.5,0.5,50.0,0.4219,42.19,Flexible Learner,0.5,50.0,57.63,5,54,102,B,64.57,200,35,447.72,14864,7
46,12.41,133.25,70.34,54.29,0.8398,5,A,87.96,0.6816,68.16,0.6851,68.51,0.678,67.8,Consistent Climber,0.8,80.0,79.13,6,82,103,A,85.14,358,77,955.73,14865,2
29,12.87,112.79,54.41,50.0,0.7125,3,B+,66.2,0.586,58.6,0.6194,61.94,0.5,50.0,Flexible Learner,0.4,40.0,66.35,0,54,104,B+,68.67,186,32,411.95,14866,4
24,9.84,86.88,56.38,14.81,0.6537,2,B,60.23,0.443,44.3,0.437,43.7,0.4783,47.83,Deep Focus Learner,0.45,45.0,47.45,3,46,105,C+,59.8,158,29,285.25,14867,6
30,11.04,108.78,50.2,41.3,0.6616,2,B,64.36,0.5217,52.17,0.558,55.8,0.413,41.3,Deep Focus Learner,0.45,45.0,60.42,1,70,106,B+,66.88,184,37,408.6,14868,6
39,14.01,147.34,47.81,33.75,0.6316,5,B+,66.88,0.427,42.7,0.5082,50.82,0.3648,36.48,Consistent Climber,0.35,35.0,56.77,0,98,107,B+,65.54,281,57,798.43,14869,9
27,9.94,87.8,55.59,38.24,0.6771,3,B,61.91,0.4969,49.69,0.5211,52.11,0.3333,33.33,Deep Focus Learner,0.55,55.0,52.85,2,42,108,C+,58.71,163,30,298.18,14870,5
27,13.73,129.61,38.96,26.53,0.666,2,B,63.3,0.3989,39.89,0.4496,44.96,0.2881,28.81,Flexible Learner,0.45,45.0,49.6,0,54,109,D,48.66,188,34,466.82,14871,8
28,13.0,123.81,55.23,43.64,0.7426,6,B+,68.95,0.5389,53.89,0.5893,58.93,0.4364,43.64,Deep Focus Learner,0.45,45.0,63.8,2,30,110,B,64.55,167,31,403.0,14872,4
29,11.57,110.07,36.03,30.23,0.5999,3,C+,56.45,0.3515,35.15,0.3704,37.04,0.2667,26.67,Flexible Learner,0.4,40.0,40.92,1,42,111,E,43.5,165,31,358.8,14873,10
26,10.88,117.9,43.51,16.0,0.6075,2,C+,59.6,0.3643,36.43,0.369,36.9,0.3571,35.71,Flexible Learner,0.35,35.0,50.18,1,42,112,C,51.24,140,31,337.37,14874,9
48,10.52,92.96,69.71,55.34,0.8594,5,A,87.89,0.6735,67.35,0.7072,70.72,0.4255,42.55,Consistent Climber,0.8,80.0,72.23,4,78,113,A,82.22,392,70,736.65,14875,2
37,12.8,131.52,57.32,38.64,0.7416,5,A-,71.26,0.5261,52.61,0.5633,56.33,0.4615,46.15,Flexible Learner,0.5,50.0,62.08,1,54,114,B+,67.26,249,50,639.83,14876,3
43,13.64,129.05,54.85,38.3,0.6432,4,B+,67.2,0.4773,47.73,0.4949,49.49,0.4511,45.11,Consistent Climber,0.5,50.0,59.83,2,78,115,B+,65.51,331,60,818.33,14877,7
22,11.89,105.01,25.42,10.0,0.4236,3,G,36.32,0.25,25.0,0.2757,27.57,0.1569,15.69,Weekend Learner,0.1,10.0,29.31,0,66,116,G,36.14,236,41,487.63,14878,8
49,11.98,109.02,68.04,45.86,0.8416,4,A,84.95,0.6193,61.93,0.6592,65.92,0.4699,46.99,High Achiever,0.65,65.0,67.31,3,82,117,A-,78.45,394,71,850.55,14879,3
24,10.01,95.1,50.07,35.14,0.6715,2,B,62.69,0.5137,51.37,0.5124,51.24,0.52,52.0,Deep Focus Learner,0.7,70.0,56.81,0,42,118,C+,56.81,146,29,290.32,14880,4
22,9.21,82.56,47.04,35.29,0.5693,2,C,50.23,0.3866,38.66,0.386,38.6,0.3913,39.13,Weekend Learner,0.35,35.0,42.94,2,78,119,C+,55.88,194,36,331.62,14881,9
47,11.66,119.65,56.98,35.71,0.6814,5,A-,70.49,0.5014,50.14,0.5302,53.02,0.4463,44.63,Consistent Climber,0.4,40.0,62.01,1,66,120,B+,68.66,353,71,827.87,14882,6
25,9.01,86.07,49.91,34.55,0.7325,2,A-,70.53,0.4847,48.47,0.4901,49.01,0.4444,44.44,Weekend Learner,0.35,35.0,52.73,1,42,121,C+,56.66,229,45,405.37,14883,6
38,13.89,127.84,53.81,33.33,0.7068,3,B+,68.74,0.5496,54.96,0.625,62.5,0.4245,42.45,Flexible Learner,0.45,45.0,62.03,1,66,122,B+,67.12,282,50,694.73,14884,3
29,10.5,97.6,57.4,34.38,0.695,2,B,64.03,0.5864,58.64,0.6098,60.98,0.5128,51.28,Deep Focus Learner,0.7,70.0,65.05,2,30,123,B+,65.32,162,31,325.38,14885,5
38,11.24,97.38,48.02,30.0,0.5989,4,C+,58.0,0.4869,48.69,0.5253,52.53,0.32,32.0,Flexible Learner,0.6,60.0,52.68,0,46,124,C+,56.9,267,46,517.18,14886,7
19,15.85,159.74,33.07,12.0,0.5244,2,E,41.45,0.3,30.0,0.3871,38.71,0.2609,26.09,Fresh Starter,0.25,25.0,43.16,1,28,125,E,44.43,100,19,301.07,14887,9
36,15.94,163.11,41.48,31.4,0.613,4,B,62.96,0.3954,39.54,0.4327,43.27,0.3711,37.11,Consistent Climber,0.35,35.0,53.18,0,70,126,C+,56.07,263,51,812.88,14888,9
44,16.38,173.88,64.63,46.04,0.7958,5,A,82.75,0.5863,58.63,0.6696,66.96,0.543,54.3,Consistent Climber,0.75,75.0,77.21,3,58,127,A,80.31,336,67,1097.58,14889,5
31,10.6,89.48,45.96,30.95,0.6377,3,B,60.6,0.4903,49.03,0.5141,51.41,0.3448,34.48,Deep Focus Learner,0.3,30.0,52.22,0,78,128,C+,59.58,206,36,381.68,14890,7
26,11.31,104.68,67.32,54.35,0.7783,3,A-,72.28,0.6585,65.85,0.6719,67.19,0.6111,61.11,Deep Focus Learner,0.7,70.0,74.95,5,66,129,A,81.21,164,30,339.35,14891,2
37,14.94,143.37,46.4,24.36,0.6002,4,B+,65.98,0.4183,41.83,0.4853,48.53,0.3465,34.65,Consistent Climber,0.5,50.0,56.05,0,66,130,C+,59.85,263,48,717.02,14892,7
